?û³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼??û	¶ÔÓ¦Îï¼?Ë÷??	¿í¶È	¸ß¶È	Ëµ?÷ÎÄ×Ö	Îå??Êô?Ô	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµ?·Å	?©Æ·Êô?Ô1	Êô?Ô1Ê?Öµ	Êô?Ô1Ê±¼ä(ÓÎÏ·Ñ­»·Ê?£©	?©Æ·Êô?Ô2	Êô?Ô2Ê?Öµ	Êô?Ô2Ê±¼ä	?©Æ·Êô?Ô3	Êô?Ô3Ê?Öµ	Êô?Ô3Ê±¼ä	?©Æ·Êô?Ô4	Êô?Ô4Ê?Öµ	Êô?Ô4Ê±¼ä	?©Æ·Êô?Ô5	Êô?Ô5Ê?Öµ	Êô?Ô5Ê±¼ä
Kim S¸ng D­îc (tiÓu) 	1	0	0	\spr\item\medecine\obj-potion01.spr	18	1	1	Håi phôc chót ?t kh? huy?t			1	0	153	10	100												
Kim S¸ng D­îc (trung) 	1	0	0	\spr\item\medecine\obj-potion01.spr	18	1	1	Håi phôc kh? huy?t t­¬ng ®èi nhanh.			2	0	153	25	100												
Kim S¸ng D­îc (®¹i) 	1	0	0	\spr\item\medecine\obj-potion02.spr	307	1	1	Håi phôc kh? huy?t cùc nhanh.			3	0	153	25	200												
Håi Thiªn ®an	1	0	0	\spr\item\medecine\obj-potion02.spr	307	1	1	"ThÇn d­îc ch÷a th­¬ng, c¶i tö hoµn sinh"			4	0	153	50	200												
Cöu ChuyÓn Hoµn Hån ®an	1	0	0	\spr\item\medecine\obj-potion03.spr	310	1	1	LËp tøc håi phôc 5000 ®iÓm sinh lùc			5	0	153	500	100												
Ng­ng ThÇn ®an (tiÓu) 	1	1	0	\spr\item\medecine\obj-potion06.spr	20	1	1	C? thÓ håi phôc chót ?t Néi lùc			1	0	154	5	200												
Ng­ng ThÇn ®an (trung) 	1	1	0	\spr\item\medecine\obj-potion06.spr	20	1	1	Håi phôc Néi lùc t­¬ng ®èi nhanh.			2	0	154	10	200												
Ng­ng ThÇn ®an (®¹i) 	1	1	0	\spr\item\medecine\obj-potion07.spr	309	1	1	Håi phôc Néi lùc côc nhanh			3	0	154	20	250												
§¹i Bæ t¸n	1	1	0	\spr\item\medecine\obj-potion07.spr	309	1	1	Håi phôc Néi lôc trong nh¸y m¾t			4	0	154	50	200												
¤ ®Çu Hoµn thÇn ®an	1	1	0	\spr\item\medecine\obj-potion08.spr	312	1	1	LËp tøc håi phôc 5000 ®iÓm Néi lùc			5	0	154	500	100												
Thõa Tiªn MËt (tiÓu) 	1	2	0	\spr\item\medecine\obj-potion11.spr	19	1	1	§ång thêi håi phôc chót ?t Sinh lùc vµ Néi lùc.			1	0	153	10	100	154	6	100									
Thõa Tiªn MËt (trung) 	1	2	0	\spr\item\medecine\obj-potion11.spr	19	1	1	§ång thêi håi phôc nhanh Sinh lùc vµ Néi lùc 			2	0	153	25	100	154	6	250									
Thõa Tiªn MËt (®¹i) 	1	2	0	\spr\item\medecine\obj-potion12.spr	308	1	1	§ång thêi håi phôc cùc nhanh Sinh lùc vµ Néi lùc			3	0	153	25	200	154	15	200									
ThÊt KhiÕu Bæ t©m ®an	1	2	0	\spr\item\medecine\obj-potion12.spr	308	1	1	LËp tøc håi phôc Sinh lùc vµ Néi lùc			4	0	153	50	200	154	30	200									
Ngò Hoa Ngäc Lé Hoµn	1	2	0	\spr\item\medecine\obj-potion13.spr	311	1	1	§ång thêi håi phôc 5000 ®iÓm Sinh lùc vµ Néi lùc			5	0	153	500	100	154	500	100									
Tam Hoa T¸n 	1	3	0	\spr\item\medecine\obj-potion16.spr	19	1	1	C? thÓ håi phôc 1000 ®iÓm thÓ lùc.			1	0	95	50	200												
§ïi gµ 	1	3	0	\spr\item\questkey\taskobj106.spr	41	1	1	C? thÓ bæ sung kh? huy?t.			2	0	153	500	100												
B¸nh Trung Thu h­ 	1	3	0	\spr\item\special\ÔÂ±?.spr	329	1	1	Sö dông v« hiÖu.			3	0	153	-10	100	154	-10	100									
Toµn Qu¶ hoµn	1	3	0	\spr\item\medecine\obj-potion17.spr	19	1	1	C? thÓ håi phôc 5000 ®iÓm thÓ lùc.			4	0	95	200	200												
Toµn Qu¶ hoµn	1	3	0	\spr\item\medecine\obj-potion17.spr	19	1	1	C? thÓ håi phôc 5000 ®iÓm thÓ lùc.			5	0	95	200	200												
Thanh Ng­u Gi¶i ®éc t¸n	1	4	0	\spr\item\medecine\obj-potion23.spr	19	1	1	"Lo¹i bæ d­îc th«ng th­êng, t¸c dông kh«ng cao."			1	0	109	100	200												
Ho¾c H­¬ng ChÝnh KhÝ hoµn	1	4	0	\spr\item\medecine\obj-potion24.spr	19	1	1	C? chót ?t t¸c dông gi¶i ®éc			2	0	109	200	200												
Tam ThuËn t¸n	1	4	0	\spr\item\medecine\obj-potion25.spr	19	1	1	Gi¶i ®éc rÊt hiÖu qu¶ 			3	0	109	400	200												
Ng©n KiÒu KhÝ ®éc ®an	1	4	0	\spr\item\medecine\obj-potion26.spr	19	1	1	Gi¶i ®éc cùu kú hiÖu qu¶ 			4	0	109	800	200												
Long §µm Hãa §éc ®an	1	4	0	\spr\item\medecine\obj-potion27.spr	19	1	1	Kh«ng ®éc kh«ng thÓ gi¶i			5	0	109	1200	200												
Tr­êng MÖnh hoµn	1	5	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, sinh lùc t¨ng tèi ®a: 500 ®iÓm"			1	0	85	500	6000												
Gia Bµo hoµn	1	5	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, tèc ®é di chuyÓn t¨ng: 20%"			2	0	111	20	6000												
§¹i Lùc hoµn	1	5	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, c«ng k?ch vËt l? t¨ng: 100 ®iÓm"			3	0	121	100	6000												
Cao ThiÓm hoµn	1	5	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, t¨ng ®é c«ng k?ch ch?nh x¸c: 500 ®iÓm"			4	0	150	500	6000												
Cao Trung hoµn	1	5	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, t¨ng ®é c«ng k?ch ch?nh x¸c: 500 ®iÓm"			5	0	166	500	6000												
Phi Tèc hoµn	1	6	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, tèc ®é c«ng k?ch t¨ng 50%."			1	0	115	50	6000												
B¨ng Phßng hoµn	1	6	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, t¨ng phßng ngù: 50%"			2	0	105	50	6000												
L«i Phßng hoµn	1	6	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, t¨ng phßng L«i: 50%"			3	0	103	50	6000												
Háa Phßng hoµn	1	6	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, t¨ng phßng háa: 50%"			4	0	102	50	6000												
§éc Phßng hoµn	1	6	0	\spr\item\medecine\obj-potion15.spr	19	1	1	"Néi 5 phót, t¨ng phßng ®éc: 50%"			5	0	101	50	6000												
B¸nh ch­ng Nh©n t¸o	1	7	0	\spr\item\questkey\taskobj400.spr	366	1	1	Sau khi ¨n mçi gi©y t¨ng thªm 1000 ®iÓm Sinh lùc			1	0	153	500	100												
Thiªn s¬n  Håi ThÇn ®an	1	7	0	\spr\item\medecine\obj-potion30.spr	369	1	1	"Tiªn s¬n  b¶o d­îc, ®ång thêi håi phôc Sinh lùc vµ Néi lùc "			2	0	153	350	100	154	350	100									
B¸nh ch­ng Nh©n t¸o	1	7	0	\spr\item\questkey\taskobj400.spr	366	1	1	Sau khi ¨n mçi gi©y t¨ng thªm 1000 ®iÓm Sinh lùc			3	0	153	500	100												
B¸nh ch­ng Nh©n t¸o	1	7	0	\spr\item\questkey\taskobj400.spr	366	1	1	Sau khi ¨n mçi gi©y t¨ng thªm 1000 ®iÓm Sinh lùc			4	0	153	500	100												
B¸nh ch­ng Nh©n t¸o	1	7	0	\spr\item\questkey\taskobj400.spr	366	1	1	Sau khi ¨n mçi gi©y t¨ng thªm 1000 ®iÓm Sinh lùc			5	0	153	500	100												
Ngò Hoa Ngäc Lé Hoµn §Æc BiÖt	1	8	0	\spr\item\medecine\obj-potion13.spr	311	1	1	"Tiªn ®¬n diÖu d­îc, kh«i phôc hoµn toµn sinh lùc vµ néi lùc trong nh¸y m¾t."			1	0	153	1200	100	154	1200	100									
Cöu ChuyÓn Hoµn Hån §an §Æc BiÖt	1	8	0	\spr\item\medecine\obj-potion03.spr	310	1	1	"Linh ®¬n diÖu d­îc, c¶i tö hoµn sinh. Phôc håi sinh lùc 10000 ®iÓm."			2	0	153	1000	100												
Tóc c©n tiÖp m¹ch t¸n	1	8	0	\spr\item\medecine\obj-potion31.spr	311	1	1	Lo¹i linh d­îc gióp c¶i tö hoµn sinh.			3	0	153	1000	100	154	500	100									
Håi Thiªn T¸i T¹o §¬n	1	8	0	\spr\item\script\caiyao\htzzd.spr	311	1	1	"Linh ®¬n ®­îc chÕ t? kú d­îc, ®ång thêi håi phôc sinh lùc néi lùc nhiÒu nhÊt 7500 ®iÓm."			4	0	153	750	80	154	750	80									
