?û³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼??û	¶ÔÓ¦Îï¼?Ë÷??	¿í¶È	¸ß¶È	Ëµ?÷ÎÄ×Ö	Îå??Êô?Ô	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµ?·Å	»ù´¡Êô?Ô1Àà?Í	»ù´¡Êô?Ô1×î?¡Öµ	»ù´¡Êô?Ô1×î´óÖµ	»ù´¡Êô?Ô2Àà?Í	»ù´¡Êô?Ô2×î?¡Öµ	»ù´¡Êô?Ô2×î´óÖµ	»ù´¡Êô?Ô3Àà?Í	»ù´¡Êô?Ô3×î?¡Öµ	»ù´¡Êô?Ô3×î´óÖµ	»ù´¡Êô?Ô4Àà?Í	»ù´¡Êô?Ô4×î?¡Öµ	»ù´¡Êô?Ô4×î´óÖµ	»ù´¡Êô?Ô5Àà?Í	»ù´¡Êô?Ô5×î?¡Öµ	»ù´¡Êô?Ô5×î´óÖµ	»ù´¡Êô?Ô6Àà?Í	»ù´¡Êô?Ô6×î?¡Öµ	»ù´¡Êô?Ô6×î´óÖµ	»ù´¡Êô?Ô7Àà?Í	»ù´¡Êô?Ô7×î?¡Öµ	»ù´¡Êô?Ô7×î´óÖµ	?èÇóÊô?Ô1Àà?Í	?èÇóÊô?Ô1Ê?Öµ	?èÇóÊô?Ô2Àà?Í	?èÇóÊô?Ô2Ê?Öµ	?èÇóÊô?Ô3Àà?Í	?èÇóÊô?Ô3Ê?Öµ	?èÇóÊô?Ô4Àà?Í	?èÇóÊô?Ô4Ê?Öµ	?èÇóÊô?Ô5Àà?Í	?èÇóÊô?Ô5Ê?Öµ	?èÇóÊô?Ô6Àà?Í	?èÇóÊô?Ô6Ê?Öµ
LiÖt Hoµng M· 	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"LiÖt m·, ®¸nh th? nµo c?ng ch¹y kh«ng nhanh."	0	2500	1	0	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	20										
LiÖt Hoµng M· 	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"LiÖt m·, ®¸nh th? nµo c?ng ch¹y kh«ng nhanh."	0	2500	2	0	111	10%	10%	93	50	50	85	10	10	150	-10	-10										36	25										
Hoµng M· 	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng mµu h¬i xanh t?a, hµnh tr×nh rÊt k?m."	0	5000	3	0	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	30										
Hoµng M· 	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng mµu h¬i xanh t?a, hµnh tr×nh rÊt k?m."	0	5000	4	0	111	20%	20%	93	100	100	85	20	20	150	-20	-20										36	35										
Hoµng Phiªu	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng vµng t­¬ng ®èi qu?, ngµy ®i tr¨m dÆm"	0	10000	5	0	111	30%	30%	93	200	200	85	50	50	150	-50	-50										36	40										
Hoµng Phiªu	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i ngùa l«ng vµng t­¬ng ®èi qu?, ngµy ®i tr¨m dÆm"	0	10000	6	0	111	30%	30%	93	200	200	85	50	50	150	-50	-50										36	45										
§¹i UyÓn Hoµng M· 	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i TuÊn m· hi?m thÊy, ngh×n vµng kh? mua"	0	25000	7	0	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	50										
§¹i UyÓn Hoµng M· 	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Lo¹i TuÊn m· hi?m thÊy, ngh×n vµng kh? mua"	0	25000	8	0	111	40%	40%	93	500	500	85	100	100	150	-100	-100										36	55										
Phi Hoµng	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong t¸m con danh m· cña Chu Môc V­¬ng, ngµy ®i ngh×n dÆm"	0	50000	9	0	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	60										
Phi Hoµng	0	10	0	\spr\item\equip\horse\horse003.spr	40	2	3	"Mét trong t¸m con danh m· cña Chu Môc V­¬ng, ngµy ®i ngh×n dÆm"	0	50000	10	0	111	50%	50%	93	1000	1000	85	200	200	150	-200	-200										36	72										
LiÖt Thanh M· 	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Lo¹i ngùa h¹ ®¼ng, l«ng mµu xanh nh¹t"	1	2500	1	0	111	10%	10%	93	50	50	85	5	5	150	-15	-15										36	20										
LiÖt Thanh M· 	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Lo¹i ngùa h¹ ®¼ng, l«ng mµu xanh nh¹t"	1	2500	2	0	111	10%	10%	93	50	50	85	5	5	150	-15	-15										36	25										
Thanh Th«ng	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mét lo¹i ngùa l«ng tr¾ng x¸m th«ng th­êng,hµnh tr×nh rÊt k?m."	1	5000	3	0	111	20%	20%	93	100	100	85	10	10	150	-30	-30										36	30										
Thanh Th«ng	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mét lo¹i ngùa l«ng tr¾ng x¸m th«ng th­êng,hµnh tr×nh rÊt k?m."	1	5000	4	0	111	20%	20%	93	100	100	85	10	10	150	-30	-30										36	35										
Tö L­u	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Loµi ngùa qu©n ®éi th­êng dïng, ®i xa rÊt tèt."	1	10000	5	0	111	30%	30%	93	200	200	85	20	20	150	-80	-80										36	40										
Tö L­u	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Loµi ngùa qu©n ®éi th­êng dïng, ®i xa rÊt tèt."	1	10000	6	0	111	30%	30%	93	200	200	85	20	20	150	-80	-80										36	45										
§¹i UyÓn Thanh M· 	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mét lo¹i ngùa qu?, l«ng tr¾ng x¸m, m¾t nh­ ngäc "	1	25000	7	0	111	40%	40%	93	500	500	85	50	50	150	-160	-160										36	50										
§¹i UyÓn Thanh M· 	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mét lo¹i ngùa qu?, l«ng tr¾ng x¸m, m¾t nh­ ngäc "	1	25000	8	0	111	40%	40%	93	500	500	85	50	50	150	-160	-160										36	55										
Hoa L­u	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mµu ®á rùc nh­ löa, mét trong t¸m con danh m· cña Chu Môc V­¬ng."	1	50000	9	0	111	50%	50%	93	1000	1000	85	100	100	150	-320	-320										36	60										
Hoa L­u	0	10	1	\spr\item\equip\horse\horse001.spr	40	2	3	"Mµu ®á rùc nh­ löa, mét trong t¸m con danh m· cña Chu Môc V­¬ng."	1	50000	10	0	111	50%	50%	93	1000	1000	85	100	100	150	-320	-320										36	72										
LiÖt B¹ch M· 	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng tr¾ng, kh«ng ®¸ng gi¸."	2	2500	1	0	111	20%	20%	93	50	50	85	5	5	150	-10	-10										36	20										
LiÖt B¹ch M· 	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng tr¾ng, kh«ng ®¸ng gi¸."	2	2500	2	0	111	20%	20%	93	50	50	85	5	5	150	-10	-10										36	25										
B¹ch M· 	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng tr¾ng, ë ®©u c?ng thÊy."	2	5000	3	0	111	30%	30%	93	100	100	85	10	10	150	-20	-20										36	30										
B¹ch M· 	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Mét lo¹i ngùa th­êng l«ng tr¾ng, ë ®©u c?ng thÊy."	2	5000	4	0	111	30%	30%	93	100	100	85	10	10	150	-20	-20										36	35										
Ngäc Hoa Th«ng	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Truy?n thuy?t n?i ®©y lµ mét loµi Thiªn M·, thùc t? chØ lµ §¹i UyÓn M·."	2	10000	5	0	111	40%	40%	93	200	200	85	20	20	150	-50	-50										36	40										
Ngäc Hoa Th«ng	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Truy?n thuy?t n?i ®©y lµ mét loµi Thiªn M·, thùc t? chØ lµ §¹i UyÓn M·."	2	10000	6	0	111	40%	40%	93	200	200	85	20	20	150	-50	-50										36	45										
§¹i UyÓn B¹ch M· 	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Mét trong nh÷ng lo¹i §¹i UyÓn Danh m·,mµu tr¾ng nh­ tuy?t, hµnh tr×nh cùc nhanh."	2	25000	7	0	111	50%	50%	93	500	500	85	50	50	150	-100	-100										36	50										
§¹i UyÓn B¹ch M· 	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Mét trong nh÷ng lo¹i §¹i UyÓn Danh m·,mµu tr¾ng nh­ tuy?t, hµnh tr×nh cùc nhanh."	2	25000	8	0	111	50%	50%	93	500	500	85	50	50	150	-100	-100										36	55										
Tóc S­¬ng	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Lo¹i Thiªn L? M· thuÇn tóy, l«ng tr¾ng nh­ tuy?t, th? gian hi?m thÊy."	2	50000	9	0	111	60%	60%	93	1000	1000	85	100	100	150	-200	-200										36	60										
Tóc S­¬ng	0	10	2	\spr\item\equip\horse\horse007.spr	40	2	3	"Lo¹i Thiªn L? M· thuÇn tóy, l«ng tr¾ng nh­ tuy?t, th? gian hi?m thÊy."	2	50000	10	0	111	60%	60%	93	1000	1000	85	100	100	150	-200	-200										36	72										
