Ç°ºó×ºÃû³Æ	ÊÇ·ñÇ°×º	ÎåÐÐÊôÐÔÒªÇó	µÈ¼¶ÒªÇó	ÊôÐÔµ÷ÕûÀà±ð	²ÎÊý1×îÐ¡Öµ	²ÎÊý1×î´óÖµ	²ÎÊý2×îÐ¡Öµ	²ÎÊý2×î´óÖµ	²ÎÊý3×îÐ¡Öµ	²ÎÊý3×î´óÖµ	Ð§¹ûËµÃ÷	½ü³ÌÎäÆ÷	°µÆ÷	¿ø¼×	½äÖ¸	ÏîÁ´	Ñ¥×Ó	Ñü´ø	Í·¿ø	»¤Íó	Ñü×¹	Âí
Thanh §ång 	1		1	126	100	100	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	10000	10000	0	0	0	0	0	0	0	0	0
XÝch §ång 	1		2	126	100	100	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	20000	20000	0	0	0	0	0	0	0	0	0
Sinh ThiÕt	1		3	126	100	100	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	30000	30000	0	0	0	0	0	0	0	0	0
Tinh Cang	1		4	126	100	100	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	40000	40000	0	0	0	0	0	0	0	0	0
B¹ch Ng©n	1		5	126	100	100	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	50000	50000	0	0	0	0	0	0	0	0	0
ThuÇn Ng©n	1		6	126	100	100	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	60000	60000	0	0	0	0	0	0	0	0	0
Hoµng Kim	1		7	126	100	100	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	70000	70000	0	0	0	0	0	0	0	0	0
B¹ch Kim	1		8	126	100	100	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	80000	80000	0	0	0	0	0	0	0	0	0
VÉn ThiÕt	1		9	126	100	100	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	90000	90000	0	0	0	0	0	0	0	0	0
HuyÒn ThiÕt	1		10	126	100	100	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
Mòi nhän	1		1	166	300	300	-1	-1	0	0	T¨ng chÝnh x¸c	2000	1000	0	0	0	0	0	0	0	0	0
§Ñp ®Ï	1		2	166	300	300	-1	-1	0	0	T¨ng chÝnh x¸c	3000	2000	0	0	0	0	0	0	0	0	0
Vâ sÜ 	1		3	166	300	300	-1	-1	0	0	T¨ng chÝnh x¸c	4000	3000	0	0	0	0	0	0	0	0	0
HiÖp kh¸ch	1		4	166	300	300	-1	-1	0	0	T¨ng chÝnh x¸c	5000	4000	0	0	0	0	0	0	0	0	0
B¸ chñ 	1		5	166	300	300	-1	-1	0	0	T¨ng chÝnh x¸c	6000	5000	0	0	0	0	0	0	0	0	0
Quèc v­¬ng	1		6	166	300	300	-1	-1	0	0	T¨ng chÝnh x¸c	7000	6000	0	0	0	0	0	0	0	0	0
Qu©n V­¬ng	1		7	166	300	300	-1	-1	0	0	T¨ng chÝnh x¸c	8000	7000	0	0	0	0	0	0	0	0	0
B¸ V­¬ng	1		8	166	300	300	-1	-1	0	0	T¨ng chÝnh x¸c	9000	8000	0	0	0	0	0	0	0	0	0
Hoµng §Õ	1		9	166	300	300	-1	-1	0	0	T¨ng chÝnh x¸c	10000	9000	0	0	0	0	0	0	0	0	0
Ngäc §Õ	1		10	166	300	300	-1	-1	0	0	T¨ng chÝnh x¸c	50000	10000	0	0	0	0	0	0	0	0	0
Tèc ®é cao	1		2	115	30	30	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	20000	100000	0	0	0	0	0	0	0	0	0
CÊp tèc	1		5	115	30	30	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	50000	200000	0	0	0	0	0	0	0	0	0
Tèc ®é	1		9	115	30	30	-1	-1	0	0	T¨ng tèc ®é c«ng kÝch	100000	300000	0	0	0	0	0	0	0	0	0
§©m xuyªn	1		10	58	1	1	-1	-1	0	0	Bá qua phßng thñ ®èi ph­¬ng	10000	10000	0	0	0	0	0	0	0	0	0
VÜnh h»ng	1		10	43	1	1	-1	-1	0	0	Kh«ng thÓ ph¸ hñy	0	0	0	0	0	0	0	0	0	0	0
Ch¾c ch¾n	1		1	150	250	250	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
X¬ cøng	1		2	150	250	250	-1	-1	0	0	T¨ng phßng thñ ®èi ®a	0	0	0	0	0	0	0	0	0	0	0
