enum_core	string
MESSAGE_BROADCAST_ANNOUCE_HEAD	C«ng bè
MESSAGE_SYSTEM_HEAD	HÖ thèng
SERVER_DISCONNECT_TO_AUTHSERVER	M¸y chñ mÊt kÕt nèi víi hÖ thèng chøng thùc. TiÕn hµnh b¶o tr× m¸y chñ...
SERVER_RECONNECT_TO_AUTHSERVER	M¸y chñ ®ang mÊt kÕt nèi víi hÖ thèng chøng thùc! §ang tiÕn hµnh kÕt nèi l¹i...
SERVER_RECONNECT_TO_AUTHSERVER_SUCCESS	KÕt nèi m¸y chñ chøng thùc thµnh c«ng!
SERVER_DISCONNECT_TO_CHEATSERVER	M¸y chñ mÊt kÕt nèi víi hÖ thèng antihack. TiÕn hµnh b¶o tr× m¸y chñ...
SERVER_RECONNECT_TO_CHEATSERVER	M¸y chñ ®ang mÊt kÕt nèi víi hÖ thèng antihack! §ang tiÕn hµnh kÕt nèi l¹i...
SERVER_RECONNECT_TO_CHEATSERVER_SUCCESS	KÕt nèi m¸y antihack thµnh c«ng!
DISCONNECT_TO_SERVER	MÊt kÕt nèi víi m¸y chñ!
LICENSE_EXPIRED	GiÊy phÐp ®· hÕt h¹n!
ACTION_TOO_FAST	Thao t¸c qu¸ nhanh! Thö l¹i sau %d mili gi©y!
TEAM_CHANGE_CAPTAIN_DELAY	Vui lßng ®îi %d gi©y!
TONG_FULL_MEMBER	Bang héi ®· ®ñ sè l­îng thµnh viªn tèi ®a!
CAN_NOT_USE_IN_TONG_BATTLE_MAP	B¶n ®å hiÖn t¹i kh«ng thÓ sö dông chøc n¨ng nµy!
FUNCTION_NOT_ACTIVATED	Chøc n¨ng ®ang t¹m khãa!
NOT_ENOUGH_MONEY	Kh«ng ®ñ ng©n l­îng!
PLAYER_STALL_COIN_DISABLED	Ch­c n¨ng bµy b¸n b»ng xu ®ang t¹m khãa!
PLAYER_STALL_REFINING_DISABLED	Ch­c n¨ng bµy b¸n b»ng Tinh LuyÖn Th¹ch ®ang t¹m khãa!
PLAYER_STALL_REPUTE_DISABLED	Ch­c n¨ng bµy b¸n b»ng ®iÓm Danh Väng ®ang ®ang t¹m khãa!
PLAYER_STALL_FUYUAN_DISABLED	Ch­c n¨ng bµy b¸n b»ng ®iÓm Phóc Duyªn ®ang t¹m khãa!
PLAYER_STALL_SONGJING_DISABLED	Ch­c n¨ng bµy b¸n b»ng ®iÓm TÝch Lòy Tèng Kim ®ang t¹m khãa!
PLAYER_STALL_HONOUR_DISABLED	Ch­c n¨ng bµy b¸n b»ng ®iÓm Vinh Dù ®ang t¹m khãa!
PLAYER_STALL_RESPECT_DISABLED	Ch­c n¨ng bµy b¸n b»ng ®iÓm Uy Danh ®ang t¹m khãa!
PLAYER_STALL_ENERGY_DISABLED	Ch­c n¨ng bµy b¸n b»ng ®iÓm Tinh Lùc ®ang t¹m khãa!
PLAYER_STALL_ARENA_CREDITS_DISABLED	Ch­c n¨ng bµy b¸n b»ng ®iÓm TÝch Lòy Hu©n Ch­¬ng ®ang t¹m khãa!
PLAYER_STALL_SELLER_FULL_COIN	Sè xu hiÖn t¹i cña ng­êi b¸n ®· v­ît giíi h¹n!
PLAYER_STALL_SELLER_FULL_REFINING	Sè Tinh LuyÖn Th¹ch hiÖn t¹i cña ng­êi b¸n ®· v­ît giíi h¹n!
PLAYER_STALL_SELLER_FULL_REPUTE	Sè ®iÓm Danh Väng hiÖn t¹i cña ng­êi b¸n ®· v­ît giíi h¹n!
PLAYER_STALL_SELLER_FULL_FUYUAN	Sè ®iÓm Phóc Duyªn hiÖn t¹i cña ng­êi b¸n ®· v­ît giíi h¹n!
PLAYER_STALL_SELLER_FULL_SONGJING	Sè ®iÓm TÝch Lòy Tèng Kim hiÖn t¹i cña ng­êi b¸n ®· v­ît giíi h¹n!
PLAYER_STALL_SELLER_FULL_HONOUR	Sè ®iÓm Vinh Dù hiÖn t¹i cña ng­êi b¸n ®· v­ît giíi h¹n!
PLAYER_STALL_SELLER_FULL_RESPECT	Sè ®iÓm Uy Danh hiÖn t¹i cña ng­êi b¸n ®· v­ît giíi h¹n!
PLAYER_STALL_SELLER_FULL_ENERGY	Sè ®iÓm Tinh Lùc hiÖn t¹i cña ng­êi b¸n ®· v­ît giíi h¹n!
PLAYER_STALL_SELLER_FULL_ARENA_CREDITS	Sè ®iÓm TÝch Lòy Hu©n Ch­¬ng hiÖn t¹i cña ng­êi b¸n ®· v­ît giíi h¹n!
PLAYER_STALL_NOT_ENOUGH_COIN	Kh«ng ®ñ xu!
PLAYER_STALL_NOT_ENOUGH_REFINING	Kh«ng ®ñ Tinh LuyÖn Th¹ch!
PLAYER_STALL_NOT_ENOUGH_REPUTE	Kh«ng ®ñ ®iÓm Danh Väng!
PLAYER_STALL_NOT_ENOUGH_FUYUAN	Kh«ng ®ñ ®iÓm Phóc Duyªn!
PLAYER_STALL_NOT_ENOUGH_SONGJING	Kh«ng ®ñ ®iÓm TÝch Lòy Tèng Kim!
PLAYER_STALL_NOT_ENOUGH_HONOUR	Kh«ng ®ñ ®iÓm Vinh Dù!
PLAYER_STALL_NOT_ENOUGH_RESPECT	Kh«ng ®ñ ®iÓm Uy Danh!
PLAYER_STALL_NOT_ENOUGH_ENERGY	Kh«ng ®ñ ®iÓm Tinh Lùc!
PLAYER_STALL_NOT_ENOUGH_ARENA_CREDITS	Kh«ng ®ñ ®iÓm TÝch Lòy Hu©n Ch­¬ng!
PLAYER_STALL_REPUTE_ERROR	Giao dÞch bÞ hñy bá, xin h·y kiÓm tra tæng sè ®iÓm Danh Väng ®ang cã vµ ®iÓm Danh Väng nhËn ®­îc khi giao dÞch cã ph¶i v­ît giíi h¹n!
PLAYER_STALL_FUYUAN_ERROR	Giao dÞch bÞ hñy bá, xin h·y kiÓm tra tæng sè ®iÓm Phóc Duyªn ®ang cã vµ ®iÓm Phóc Duyªn nhËn ®­îc khi giao dÞch cã ph¶i v­ît giíi h¹n!
