nW	nX	nY
167	1704	3106
167	1700	3074
167	1697	3021
167	1723	2995
167	1761	2997
167	1766	3003
167	1774	3012
167	1805	2982
167	1809	2927
167	1893	2957
167	1920	2938
167	1914	2919
167	1830	2810
167	1849	2782
167	1838	2759
167	1791	2692
167	1722	2632
167	1684	2611
167	1634	2592
167	1625	2503
167	1634	2503
167	1639	2509
167	1609	2604
167	1595	2603
167	1542	2632
167	1510	2669
167	1513	2678
167	1489	2646
167	1481	2631
167	1479	2619
167	1482	2600
167	1487	2581
167	1504	2578
167	1517	2562
167	1520	2493
167	1518	2463
167	1526	2493
167	1514	2890
167	1503	2864
167	1491	2850
167	1484	2813
167	1491	2786
167	1493	2761
167	1476	2744
167	1459	2723
167	1440	2707
167	1414	2681
167	1392	2655
167	1373	2633
167	1377	2601
167	1388	2571
167	1375	2542
167	1377	2517
167	1392	2523
167	1361	2678
167	1340	2683
167	1324	2680
167	1310	2674
167	1294	2679
167	1285	2692
167	1277	2708
167	1281	2737
167	1288	2763
167	1269	2786
167	1252	2796
167	1242	2809
167	1226	2810
167	1203	2791
167	1191	2773
167	1200	2750
167	1208	2739
167	1164	2759
167	1152	2750
167	1145	2738
167	1138	2734
167	1141	2719
167	1146	2705
167	1161	2703
167	1163	2683
167	1158	2667
167	1154	2651
167	1155	2634
167	1158	2621
167	1161	2626
167	1666	3025
167	1648	3028
167	1629	3032
167	1615	3057
167	1612	3076
167	1620	3089
167	1592	3084
167	1564	3108
167	1546	3126
167	1526	3141
167	1516	3162
167	1510	3182
167	1520	3202
167	1533	3222
167	1538	3235
167	1704	3106
193	1215	2580
193	1214	2561
193	1219	2540
193	1223	2515
193	1231	2485
193	1246	2475
193	1264	2455
193	1276	2467
193	1272	2491
193	1273	2510
193	1285	2526
193	1299	2543
193	1311	2558
193	1326	2576
193	1340	2590
193	1354	2602
193	1357	2650
193	1341	2669
193	1330	2679
193	1318	2694
193	1321	2716
193	1334	2735
193	1348	2746
193	1366	2755
193	1386	2764
193	1398	2763
193	1412	2767
193	1422	2773
193	1439	2783
193	1431	2759
193	1502	2495
193	1522	2503
193	1545	2520
193	1561	2533
193	1576	2548
193	1591	2569
193	1575	2602
193	1562	2618
193	1547	2632
193	1616	2587
193	1632	2607
193	1656	2658
193	1680	2687
193	1701	2695
193	1716	2726
193	1730	2741
193	1752	2759
193	1766	2743
193	1783	2724
193	1808	2705
193	1798	2725
193	1797	2754
193	1798	2770
193	1816	2773
193	1829	2787
193	1840	2799
193	1857	2801
193	1870	2805
193	1885	2802
193	1901	2810
193	1912	2820
193	1927	2836
193	1321	2438
193	1336	2418
193	1350	2425
193	1361	2443
193	1354	2461
193	1350	2477
193	1366	2488
193	1380	2484
193	1398	2479
193	1412	2471
193	1413	2443
193	1410	2433
193	1426	2412
193	1409	2373
193	1419	2376
193	1424	2384
193	1431	2389
193	1439	2396
193	1447	2409
193	1464	2549
193	1475	2565
193	1481	2583
193	1467	2591
193	1451	2604
193	1438	2581
193	1438	2560
193	1438	2613
193	1429	2621
193	1420	2631
193	1411	2637
193	1392	2641
193	1365	2612
193	1375	2620
193	1385	2630
193	1393	2643
193	1392	2655
193	1382	2666
193	1367	2653
21	1703	3882
21	1693	3860
21	1679	3852
21	1688	3834
21	1676	3825
21	1664	3821
21	1650	3812
21	1666	3799
21	1676	3788
21	1666	3770
21	1669	3753
21	1676	3733
21	1687	3715
21	1698	3702
21	1710	3695
21	1720	3700
21	1726	3711
21	1733	3720
21	1744	3725
21	1753	3737
21	1766	3753
21	1776	3743
21	1777	3717
21	1787	3696
21	1799	3681
21	1816	3675
21	1835	3674
21	1848	3687
21	1863	3686
21	1879	3690
21	1886	3671
21	1902	3658
21	1911	3638
21	1926	3624
21	1940	3606
21	1948	3589
21	1955	3569
21	1960	3544
21	1960	3520
21	1951	3504
21	1949	3510
21	1951	3525
21	1879	3704
21	1879	3717
21	1881	3741
21	1881	3763
21	1885	3784
21	1889	3804
21	1895	3837
21	1889	3881
21	1849	3923
21	1800	3935
21	1791	3908
21	1793	3883
21	1792	3875
21	1812	3954
21	2002	3735
21	2017	3758
21	2035	3774
21	2049	3786
21	2065	3789
21	2085	3788
21	2103	3770
21	2115	3755
21	2129	3743
21	2141	3736
21	2144	3699
21	2135	3681
21	2133	3664
21	2107	3643
21	2102	3624
21	2091	3615
21	2081	3608
21	2066	3600
21	2056	3601
21	2046	3610
21	2035	3622
21	2026	3635
21	2023	3646
21	2268	3814
21	2300	3794
21	2334	3777
21	2358	3764
21	2374	3759
21	2389	3771
21	2405	3782
21	2413	3785
21	2426	3798
21	2439	3804
21	2454	3812
21	2458	3839
21	2468	3866
21	2472	3887
21	2487	3890
21	2501	3900
21	2519	3910
21	2533	3913
21	2544	3924
21	2546	3943
21	2546	3943
2	2319	4079
2	2326	4060
2	2324	4040
2	2325	4018
2	2336	3999
2	2346	3983
2	2355	3967
2	2366	3951
2	2379	3936
2	2396	3925
2	2412	3930
2	2426	3938
2	2446	3944
2	2451	3964
2	2447	3982
2	2443	4007
2	2450	4033
2	2430	4043
2	2414	4033
2	2396	4034
2	2375	4032
2	2364	4044
2	2467	3963
2	2484	3963
2	2497	3956
2	2517	3959
2	2535	3957
2	2543	3945
2	2561	3982
2	2567	4011
2	2560	4020
2	2551	4027
2	2544	4036
2	2531	4046
2	2513	4051
2	2501	4049
2	2589	3995
2	2601	3978
2	2607	3959
2	2607	3940
2	2605	3919
2	2602	3912
2	2597	3898
2	2585	3880
2	2566	3862
2	2556	3848
2	2547	3838
