Name	Feature	Price
KiÓu 1	0	600
KiÓu 2	1	600
KiÓu 3	2	600
KiÓu 4	3	600
KiÓu 5	4	600
KiÓu 6	5	600
KiÓu 7	6	600
KiÓu 8	7	600
KiÓu 9	8	600
KiÓu 10	9	600
KiÓu 11	10	600
KiÓu 12	11	600
KiÓu 13	12	600
KiÓu 14	13	600
KiÓu 15	14	600
KiÓu 16	15	600
KiÓu 17	16	600
KiÓu 18	17	600
KiÓu 19	18	600
KiÓu 20	19	600
KiÓu 21	20	600
KiÓu 22	21	600
KiÓu 23	22	600
KiÓu 24	23	600
KiÓu 25	24	600
KiÓu 26	25	600
KiÓu 27	26	600
KiÓu 28	27	600
KiÓu 29	28	600
KiÓu 30	29	600
KiÓu 31	30	600
KiÓu 32	31	600
KiÓu 33	32	600
KiÓu 34	33	600
KiÓu 35	34	600
KiÓu 36	35	600
KiÓu 37	36	600
KiÓu 38	37	600
KiÓu 39	38	600
KiÓu 40	39	600
KiÓu 41	40	600
KiÓu 42	41	600
KiÓu 43	42	600
KiÓu 44	43	600
KiÓu 45	44	600
KiÓu 46	45	600
KiÓu 47	46	600
KiÓu 48	47	600
KiÓu 49	48	600
KiÓu 50	49	600
KiÓu 51	50	600
KiÓu 52	51	600
KiÓu 53	52	600
KiÓu 54	53	600
KiÓu 55	54	600
KiÓu 56	55	600
KiÓu 57	56	600
KiÓu 58	57	600
KiÓu 59	58	600
KiÓu 60	59	600
KiÓu 61	60	600
KiÓu 62	61	600
KiÓu 63	62	600
KiÓu 64	63	600
KiÓu 65	64	600
KiÓu 66	65	600
KiÓu 67	66	600
KiÓu 68	67	600
KiÓu 69	68	600
KiÓu 70	69	600
KiÓu 71	70	600
