DES_GOLDNAME	DES_GENRE	DES_DETAILTYPE	MAR_FIRST_DETAIL	MAR_COUNT	DES_BADVALUES	DES_STANDARDVALUES
Méng Long ChÝnh Hång T¨ng M·o	0	1	1500	6	300000000	500000000
Méng Long Kim Ti ChÝnh Hång Cµ Sa	0	2	1506	6	300000000	500000000
Méng Long HuyÒn Ti Ph¸t ®¸i	0	3	1512	6	450000000	650000000
Méng Long PhËt Ph¸p HuyÒn Béi	0	4	1518	6	300000000	500000000
Méng Long §¹t Ma T¨ng hµi	0	5	1524	6	400000000	600000000
Phôc Ma Tö Kim C«n	0	6	1530	9	350000000	600000000
Phôc Ma HuyÒn Hoµng Cµ Sa	0	7	1539	6	500000000	1000000000
Phôc Ma ¤ Kim NhuyÔn §iÒu	0	8	1545	6	600000000	900000000
Phôc Ma PhËt T©m NhuyÔn KhÊu	0	9	1551	6	500000000	900000000
Phôc Ma Phæ §é T¨ng hµi	0	10	1557	6	1500000000	2100000000
Tø Kh«ng Gi¸ng Ma Giíi ®ao	0	11	1563	9	850000000	1200000000
Tø Kh«ng Tö Kim Cµ Sa	0	12	1572	6	550000000	800000000
Tø Kh«ng Hé ph¸p Yªu ®¸i	0	13	1578	6	1600000000	2100000000
Tø Kh«ng NhuyÔn B× Hé UyÓn	0	14	1584	6	400000000	800000000
Tø Kh«ng Giíi LuËt Ph¸p giíi	0	15	1590	9	850000000	1200000000
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	0	16	1599	9	500000000	800000000
H¸m Thiªn Vâ ThÇn T­¬ng Kim Gi¸p	0	17	1608	6	600000000	900000000
H¸m Thiªn Uy Vò Thóc yªu ®¸i	0	18	1614	6	550000000	800000000
H¸m Thiªn Hæ ®Çu KhÈn Thóc UyÓn	0	19	1620	6	600000000	1000000000
H¸m Thiªn Thõa Long ChiÕn Ngoa	0	20	1626	6	550000000	800000000
KÕ NghiÖp B«n L«i Toµn Long th­¬ng	0	21	1632	9	500000000	800000000
KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	0	22	1641	6	550000000	800000000
KÕ NghiÖp B¹ch Hæ V« Song khÊu	0	23	1647	6	150000000	500000000
KÕ NghiÖp Háa V©n Kú L©n Thñ 	0	24	1653	6	250000000	650000000
KÕ NghiÖp Chu T­íc L¨ng V©n Ngoa	0	25	1659	6	350000000	550000000
Ngù Long L­îng Ng©n B¶o ®ao	0	26	1665	9	300000000	650000000
Ngù Long ChiÕn ThÇn Qua Trôy	0	27	1674	6	450000000	700000000
Ngù Long Thiªn M«n Thóc Yªu hoµn	0	28	1680	6	750000000	1200000000
Ngù Long TÊn Phong Hé UyÓn	0	29	1686	6	550000000	800000000
Ngù Long TuyÖt MÖnh ChØ hoµn	0	30	1692	9	500000000	800000000
V« Gian û Thiªn KiÕm	0	31	1701	9	300000000	500000000
V« Gian Thanh Phong Truy Y	0	32	1710	6	300000000	450000000
V« Gian PhÊt V©n Ti ®¸i	0	33	1716	6	160000000	300000000
V« Gian CÇm V©n Hé UyÓn	0	34	1722	6	150000000	300000000
V« Gian B¹ch Ngäc Bµn ChØ 	0	35	1728	9	500000000	700000000
V« Ma Ma Ni qu¸n	0	36	1737	6	120000000	250000000
V« Ma Tö Kh©m Cµ Sa	0	37	1743	6	500000000	800000000
V« Ma B¨ng Tinh ChØ Hoµn	0	38	1749	9	300000000	500000000
V« Ma TÈy T­îng Ngäc KhÊu 	0	39	1758	6	550000000	800000000
V« Ma Hång Truy NhuyÔn Th¸p hµi	0	40	1764	6	250000000	450000000
V« TrÇn Ngäc N÷ Tè T©m qu¸n	0	41	1770	6	300000000	500000000
V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	42	1776	6	300000000	450000000
V« TrÇn Tõ Bi Ngäc Ban ChØ 	0	43	1782	9	550000000	800000000
V« TrÇn PhËt T©m Tõ H÷u Yªu Phèi	0	44	1791	6	300000000	500000000
V« TrÇn PhËt Quang ChØ Hoµn	0	45	1797	9	450000000	650000000
Tª Hoµng Phông Nghi ®ao	0	46	1806	9	450000000	650000000
Tª Hoµng TuÖ T©m Khinh Sa Y	0	47	1815	6	450000000	650000000
Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	0	48	1821	6	650000000	1000000000
Tª Hoµng B¨ng Tung CÈm uyÓn	0	49	1827	6	450000000	800000000
Tª Hoµng Thóy Ngäc ChØ Hoµn	0	50	1833	9	550000000	800000000
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao	0	51	1842	9	500000000	800000000
BÝch H¶i Hoµn Ch©u Vò Liªn	0	52	1851	6	450000000	650000000
BÝch H¶i Hång Linh Kim Ti ®¸i	0	53	1857	6	400000000	600000000
BÝch H¶i Hång L¨ng Ba	0	54	1863	6	400000000	600000000
BÝch H¶i Khiªn TÕ ChØ hoµn	0	55	1869	9	300000000	500000000
U Lung Kim Xµ Ph¸t ®¸i	0	56	1878	6	500000000	650000000
U Lung XÝch YÕt MËt trang	0	57	1884	6	150000000	350000000
U Lung Thanh Ng« TriÒn yªu	0	58	1890	6	600000000	800000000
U Lung Ng©n ThiÒm Hé UyÓn	0	59	1896	6	250000000	750000000
U Lung MÆc Thï NhuyÔn Lý 	0	60	1902	6	1000000000	1500000000
Minh ¶o Tµ S¸t §éc NhËn	0	61	1908	9	700000000	1000000000
Minh ¶o U Cæ ¸m Y	0	62	1917	6	350000000	550000000
Minh ¶o Thanh YÕt ChØ Hoµn	0	63	1923	9	600000000	900000000
Minh ¶o Hñ Cèt Hé uyÓn	0	64	1932	6	350000000	500000000
Minh ¶o Song Hoµn Xµ KhÊu	0	65	1938	6	400000000	650000000
Chó Ph­îc Ph¸ gi¸p ®Çu hoµn	0	66	1944	6	150000000	320000000
Chó Ph­îc DiÖt L«i C¶nh Phï 	0	67	1950	6	300000000	500000000
Chó Ph­îc U ¶o ChØ Hoµn	0	68	1956	9	300000000	450000000
Chó Ph­îc Xuyªn T©m §éc UyÓn	0	69	1965	6	450000000	800000000
Chó Ph­îc B¨ng Háa Thùc Cèt Ngoa	0	70	1971	6	400000000	550000000
B¨ng Hµn §¬n ChØ Phi §ao	0	71	1977	9	150000000	320000000
B¨ng Hµn HuyÒn Y Thóc Gi¸p	0	72	1986	6	500000000	800000000
