等级	升级需要经验	升级附加经验（万）	1转附加经验	2转附加经验	3转附加经验	4转附加经验	5转附加经验
1	50						
2	250						
3	550						
4	950						
5	1450						
6	2050						
7	2750						
8	3550						
9	4450						
10	5450						
11	6550						
12	7850						
13	9350						
14	11050						
15	12950						
16	15050						
17	17350						
18	19850						
19	22550						
20	25450						
21	28550						
22	31950						
23	35650						
24	39650						
25	43950						
26	48550						
27	53450						
28	58650						
29	64150						
30	69950						
31	76050						
32	82700						
33	89900						
34	97650						
35	105950						
36	114800						
37	124200						
38	134150						
39	144650						
40	155700						
41	167300						
42	180200						
43	194400						
44	209900						
45	226700						
46	244800						
47	264200						
48	284900						
49	306900						
50	330200						
51	354800						
52	383000						
53	414800						
54	450200						
55	489200						
56	531800						
57	578000						
58	627800						
59	681200						
60	738200						
61	1065067						
62	1158800						
63	1265467						
64	1385067						
65	1517600						
66	1663067						
67	1821467						
68	1992800						
69	2177067						
70	2374267						
71	3230500						
72	3533500						
73	3876833						
74	4260500						
75	4684500						
76	5148833						
77	5653500						
78	6198500						
79	6783833						
80	7409500						
81	14535900						
82	15901200						
83	17433000						
84	19131300						
85	20996100						
86	27632880						
87	30270240						
88	33107400						
89	36144360						
90	39381120						
91	47575200						
92	51866000						
93	56629200						
94	61864800						
95	67572800						
96	73753200						
97	80406000						
98	87531200						
99	95128800						
100	100000000						
101	100000000						
102	100000000						
103	100000000						
104	100000000						
105	100000000						
106	100000000						
107	100000000						
108	100000000						
109	100000000						
110	120000000						
111	120000000						
112	120000000						
113	120000000						
114	120000000						
115	120000000						
116	120000000						
117	120000000						
118	120000000						
119	120000000						
120	200000000						
121	200000000						
122	200000000						
123	200000000						
124	200000000						
125	240000000						
126	240000000						
127	240000000						
128	240000000						
129	240000000						
130	320000000		16000	48000	64000	0	496000
131	320000000		16000	48000	64000	144000	496000
132	320000000		16000	48000	64000	144000	496000
133	320000000		16000	48000	64000	144000	496000
134	320000000		16000	48000	64000	144000	496000
135	400000000		20000	60000	80000	140000	620000
136	400000000		20000	60000	80000	180000	620000
137	400000000		20000	60000	80000	180000	620000
138	400000000		20000	60000	80000	180000	620000
139	400000000		20000	60000	80000	180000	620000
140	600000000		30000	90000	120000	170000	930000
141	1200000000		30000	90000	120000	270000	930000
142	1200000000		30000	90000	120000	270000	930000
143	1200000000		30000	90000	120000	270000	930000
144	1200000000		30000	90000	120000	270000	930000
145	1200000000		50000	150000	200000	250000	1550000
146	1200000000		50000	150000	200000	450000	1550000
147	1200000000		50000	150000	200000	450000	1550000
148	1200000000		50000	150000	200000	450000	1550000
149	1200000000		50000	150000	200000	450000	1550000
150	1800000000		80000	240000	320000	420000	2480000
151	1800000000		80000	240000	320000	720000	2480000
152	1800000000		80000	240000	320000	720000	2480000
153	1800000000		80000	240000	320000	720000	2480000
154	1800000000		80000	240000	320000	720000	2480000
155	1800000000		120000	360000	480000	680000	3720000
156	1800000000		120000	360000	480000	1080000	3720000
157	1800000000		120000	360000	480000	1080000	3720000
158	1800000000		120000	360000	480000	1080000	3720000
159	1800000000		120000	360000	480000	1080000	3720000
160	1800000000		180000	540000	720000	1020000	5580000
161	1800000000		180000	540000	720000	1620000	5580000
162	1800000000		180000	540000	720000	1620000	5580000
163	1800000000		180000	540000	720000	1620000	5580000
164	1800000000		180000	540000	720000	1620000	5580000
165	2000000000		200000	600000	800000	1600000	6200000
166	2000000000		200000	600000	800000	1800000	6200000
167	2000000000		200000	600000	800000	1800000	6200000
168	2000000000		200000	600000	800000	1800000	6200000
169	2000000000		200000	600000	800000	1800000	6200000
170	2000000000		200000	600000	800000	1800000	6200000
171	2000000000		200000	600000	800000	1800000	6200000
172	2000000000		200000	600000	800000	1800000	6200000
173	2000000000		200000	600000	800000	1800000	6200000
174	2000000000		200000	600000	800000	1800000	6200000
175	2000000000		200000	600000	800000	1800000	6200000
176	2000000000		200000	600000	800000	1800000	6200000
177	2000000000		200000	600000	800000	1800000	6200000
178	2000000000		200000	600000	800000	1800000	6200000
179	2000000000		200000	600000	800000	1800000	6200000
180	2000000000		200000	600000	800000	1800000	6200000
181	2000000000		200000	600000	800000	1800000	6200000
182	2000000000		200000	600000	800000	1800000	6200000
183	2000000000		200000	600000	800000	1800000	6200000
184	2000000000		200000	600000	800000	1800000	6200000
185	2000000000		200000	600000	800000	1800000	6200000
186	2000000000		200000	600000	800000	1800000	6200000
187	2000000000		200000	600000	800000	1800000	6200000
188	2000000000		200000	600000	800000	1800000	6200000
189	2000000000		200000	600000	800000	1800000	6200000
190	2000000000		200000	600000	800000	1800000	6200000
191	2000000000		200000	600000	800000	1800000	6200000
192	2000000000		200000	600000	800000	1800000	6200000
193	2000000000		200000	600000	800000	1800000	6200000
194	2000000000		200000	600000	800000	1800000	6200000
195	2000000000		200000	600000	800000	1800000	6200000
196	2000000000		200000	600000	800000	1800000	6200000
197	2000000000		200000	600000	800000	1800000	6200000
198	2000000000		200000	600000	800000	1800000	6200000
199	2000000000	19800000	800000	1800000	1800000	1800000	15800000
200	2000000000	19800000	800000	1800000	1800000	3800000	15800000
201	2500000000	19900000	900000	1900000	1900000	3900000	19800000
