Tªn Thuéc TÝnh				ID	Min	Max	H	I	Skill	Skill	L
Sinh Lùc				85	-50	50	-1	-1	0	0	0
Sinh Lùc				85	120	200	-1	-1	0	0	0
Sinh Lùc				85	160	240	-1	-1	0	0	0
Sinh Lùc				85	300	400	-1	-1	0	0	0
Néi Lùc				89	-50	50	-1	-1	0	0	0
Néi Lùc				89	120	200	-1	-1	0	0	0
Néi Lùc				89	160	240	-1	-1	0	0	0
Néi Lùc				89	300	400	-1	-1	0	0	0
ThÓ Lùc				93	-50	50	-1	-1	0	0	0
ThÓ Lùc				93	120	200	-1	-1	0	0	0
ThÓ Lùc				93	160	240	-1	-1	0	0	0
ThÓ Lùc				93	300	400	-1	-1	0	0	0
Phôc Håi Néi Lùc				92	-2	2	-1	-1	0	0	0
Phôc Håi Néi Lùc				92	3	6	-1	-1	0	0	0
Phôc Håi Néi Lùc				92	5	8	-1	-1	0	0	0
Phôc Håi Néi Lùc				92	9	12	-1	-1	0	0	0
Phôc Håi Sinh Lùc				88	-2	2	-1	-1	0	0	0
Phôc Håi Sinh Lùc				88	3	6	-1	-1	0	0	0
Phôc Håi Sinh Lùc				88	5	8	-1	-1	0	0	0
Phôc Håi Sinh Lùc				88	9	12	-1	-1	0	0	0
Phôc Håi ThÓ Lùc				96	-2	2	-1	-1	0	0	0
Phôc Håi ThÓ Lùc				96	3	6	-1	-1	0	0	0
Phôc Håi ThÓ Lùc				96	5	8	-1	-1	0	0	0
Phôc Håi ThÓ Lùc				96	9	12	-1	-1	0	0	0
Thêi Gian Tróng §éc				108	-10	10	-1	-1	0	0	0
Thêi Gian Tróng §éc				108	25	40	-1	-1	0	0	0
Thêi Gian Tróng §éc				108	35	50	-1	-1	0	0	0
Thêi Gian Tróng §éc				108	60	80	-1	-1	0	0	0
Thêi Gian Cho¸ng				110	-10	10	-1	-1	0	0	0
Thêi Gian Cho¸ng				110	25	40	-1	-1	0	0	0
Thêi Gian Cho¸ng				110	40	50	-1	-1	0	0	0
Thêi Gian Cho¸ng				110	60	80	-1	-1	0	0	0
Thêi Gian Lµm ChËm				106	-10	10	-1	-1	0	0	0
Thêi Gian Lµm ChËm				106	25	40	-1	-1	0	0	0
Thêi Gian Lµm ChËm				106	35	50	-1	-1	0	0	0
Thêi Gian Lµm ChËm				106	60	80	-1	-1	0	0	0
Thêi Gian Phôc Håi				113	20	30	-1	-1	0	0	0
Thêi Gian Phôc Håi				113	25	40	-1	-1	0	0	0
Thêi Gian Phôc Håi				113	35	50	-1	-1	0	0	0
Thêi Gian Phôc Håi				113	40	60	-1	-1	0	0	0
Tèc §é XuÊt Chiªu Ngo¹i				115	10	20	-1	-1	0	0	0
Tèc §é XuÊt Chiªu Ngo¹i				115	20	40	-1	-1	0	0	0
Tèc §é XuÊt Chiªu Ngo¹i				115	25	40	-1	-1	0	0	0
Tèc §é XuÊt Chiªu Ngo¹i				115	30	60	-1	-1	0	0	0
S¸t Th­¬ng VËt Lý %				126	-25	25	-1	-1	6	6	0
S¸t Th­¬ng VËt Lý %				126	50	100	-1	-1	6	6	0
S¸t Th­¬ng VËt Lý %				126	80	120	-1	-1	6	6	0
S¸t Th­¬ng VËt Lý %				126	100	150	-1	-1	6	6	0
§é ChÝnh X¸c §iÓm				166	-100	100	-1	-1	0	0	0
§é ChÝnh X¸c §iÓm				166	180	300	-1	-1	0	0	0
§é ChÝnh X¸c §iÓm				166	240	360	-1	-1	0	0	0
§é ChÝnh X¸c §iÓm				166	450	600	-1	-1	0	0	0
T¨ng Søc M¹nh				97	-15	5	-1	-1	0	0	0
T¨ng Søc M¹nh				97	12	20	-1	-1	0	0	0
T¨ng Søc M¹nh				97	16	24	-1	-1	0	0	0
T¨ng Søc M¹nh				97	30	40	-1	-1	0	0	0
T¨ng Ngo¹i C«ng				99	-15	5	-1	-1	0	0	0
T¨ng Ngo¹i C«ng				99	12	20	-1	-1	0	0	0
T¨ng Ngo¹i C«ng				99	16	24	-1	-1	0	0	0
T¨ng Ngo¹i C«ng				99	30	40	-1	-1	0	0	0
T¨ng Néi C«ng				100	-15	5	-1	-1	0	0	0
T¨ng Néi C«ng				100	12	20	-1	-1	0	0	0
T¨ng Néi C«ng				100	16	24	-1	-1	0	0	0
T¨ng Néi C«ng				100	30	40	-1	-1	0	0	0
T¨ng Th©n Ph¸p				98	-15	5	-1	-1	0	0	0
T¨ng Th©n Ph¸p				98	12	20	-1	-1	0	0	0
T¨ng Th©n Ph¸p				98	16	24	-1	-1	0	0	0
T¨ng Th©n Ph¸p				98	30	40	-1	-1	0	0	0
S¸t Th­¬ng VËt Lý §iÓm				121	30	50	-1	-1	0	0	0
S¸t Th­¬ng VËt Lý §iÓm				121	40	60	-1	-1	0	0	0
S¸t Th­¬ng VËt Lý §iÓm				121	50	60	-1	-1	0	0	0
B¨ng S¸t Ngo¹i C«ng §iÓm				123	60	100	-1	-1	0	0	0
B¨ng S¸t Ngo¹i C«ng §iÓm				123	80	120	-1	-1	0	0	0
B¨ng S¸t Ngo¹i C«ng §iÓm				123	150	200	-1	-1	0	0	0
§éc S¸t Ngo¹i C«ng §iÓm				125	20	30	-1	-1	0	0	0
§éc S¸t Ngo¹i C«ng §iÓm				125			-1	-1	0	0	0
§éc S¸t Ngo¹i C«ng §iÓm				125			-1	-1	0	0	0
T¨ng Kh¸ng Háa				102	-5	5	-1	-1	0	0	0
T¨ng Kh¸ng Háa				102	20	25	-1	-1	0	0	0
T¨ng Kh¸ng Háa				102	20	30	-1	-1	0	0	0
T¨ng Kh¸ng Háa				102	35	50	-1	-1	0	0	0
T¨ng Kh¸ng B¨ng				105	-5	5	-1	-1	0	0	0
T¨ng Kh¸ng B¨ng				105	15	25	-1	-1	0	0	0
T¨ng Kh¸ng B¨ng				105	20	30	-1	-1	0	0	0
T¨ng Kh¸ng B¨ng				105	35	50	-1	-1	0	0	0
T¨ng Kh¸ng L«i				103	-5	5	-1	-1	0	0	0
T¨ng Kh¸ng L«i				103	15	25	-1	-1	0	0	0
T¨ng Kh¸ng L«i				103	25	30	-1	-1	0	0	0
T¨ng Kh¸ng L«i				103	35	50	-1	-1	0	0	0
T¨ng Kh¸ng §éc				101	-5	5	-1	-1	0	0	0
T¨ng Kh¸ng §éc				101	15	25	-1	-1	0	0	0
T¨ng Kh¸ng §éc				101	20	30	-1	-1	0	0	0
T¨ng Kh¸ng §éc				101	35	50	-1	-1	0	0	0
