map_ID	nPosX	nPosY
37	1494	3357
37	1486	3366
37	1495	3376
37	1488	3383
37	1502	3379
37	1493	3389
37	1507	3387
37	1512	3372
37	1521	3366
37	1519	3380
37	1514	3392
37	1505	3397
37	1492	3404
37	1504	3406
37	1496	3413
37	1516	3406
37	1512	3417
37	1504	3422
37	1494	3425
37	1488	3434
37	1501	3440
37	1510	3438
37	1503	3447
37	1489	3444
37	1475	3442
37	1460	3438
37	1449	3445
37	1439	3456
37	1446	3470
37	1458	3465
37	1454	3456
37	1470	3457
37	1483	3456
37	1486	3470
37	1485	3480
37	1495	3478
37	1486	3487
37	1497	3490
37	1500	3502
37	1488	3504
37	1475	3507
37	1491	3522
37	1506	3530
37	1514	3521
37	1522	3508
37	1526	3522
37	1521	3539
37	1530	3551
37	1542	3553
37	1532	3517
37	1541	3509
37	1530	3497
37	1530	3482
37	1539	3467
37	1547	3477
37	1553	3484
37	1552	3498
37	1565	3503
37	1558	3469
37	1550	3461
37	1541	3461
37	1547	3442
37	1560	3442
37	1569	3450
37	1577	3459
37	1578	3444
37	1568	3439
37	1568	3439
37	1569	3427
37	1576	3423
37	1574	3420
37	1575	3417
37	1574	3420
37	1575	3417
37	1575	3417
37	1560	3419
37	1564	3409
37	1554	3400
37	1552	3388
37	1547	3376
37	1537	3384
37	1538	3389
37	1538	3400
37	1539	3419
37	1546	3423
37	1578	3451
37	1570	3459
37	1575	3468
37	1578	3476
37	1580	3488
37	1588	3483
37	1594	3495
37	1581	3495
37	1580	3466
37	1598	3452
37	1598	3441
37	1592	3430
37	1591	3415
37	1607	3417
37	1609	3425
37	1610	3431
37	1610	3443
37	1605	3441
37	1596	3431
