map_ID	nPosX	nPosY
37	1484	3451
37	1490	3451
37	1499	3450
37	1509	3449
37	1508	3456
37	1502	3463
37	1495	3464
37	1487	3467
37	1487	3476
37	1497	3476
37	1504	3512
37	1512	3513
37	1519	3512
37	1529	3510
37	1527	3519
37	1520	3526
37	1510	3529
37	1503	3523
37	1496	3525
37	1489	3512
37	1534	3490
37	1540	3491
37	1547	3492
37	1549	3498
37	1548	3506
37	1538	3504
37	1533	3501
37	1526	3501
37	1530	3510
37	1540	3513
37	1556	3441
37	1562	3441
37	1570	3441
37	1577	3445
37	1575	3451
37	1568	3453
37	1560	3452
37	1554	3452
37	1548	3449
37	1554	3457
