map_ID	nPosX	nPosY
959	1503	3090
959	1511	3098
959	1499	3099
959	1500	3112
959	1510	3110
959	1514	3121
959	1520	3135
959	1532	3136
959	1537	3145
959	1548	3134
959	1558	3129
959	1573	3135
959	1579	3126
959	1591	3126
959	1593	3111
959	1600	3119
959	1603	3102
959	1611	3109
959	1615	3098
959	1622	3104
959	1625	3089
959	1636	3092
959	1634	3076
959	1627	3050
959	1618	3044
959	1632	3038
959	1652	3091
959	1658	3103
959	1665	3088
959	1674	3092
959	1517	3078
959	1530	3083
959	1529	3076
959	1535	3073
959	1535	3065
959	1541	3072
959	1545	3068
959	1543	3061
959	1541	3052
959	1551	3045
959	1467	3064
959	1472	3073
959	1462	3074
959	1467	3083
959	1475	3089
959	1478	3080
959	1483	3087
959	1482	3091
959	1484	3102
959	1489	3090
