map_ID	nPosX	nPosY
333	1323	3132
333	1328	3126
333	1322	3119
333	1321	3103
333	1331	3098
333	1343	3112
333	1351	3122
333	1353	3138
333	1354	3152
333	1353	3168
333	1361	3181
333	1371	3162
333	1371	3144
333	1392	3160
333	1391	3170
333	1389	3179
333	1404	3141
333	1424	3136
333	1437	3132
333	1449	3116
333	1434	3085
333	1431	3072
333	1423	3056
333	1411	3056
333	1397	3055
333	1395	3042
333	1460	3105
333	1454	3113
333	1460	3128
333	1473	3131
333	1484	3143
333	1496	3157
333	1514	3161
333	1505	3148
333	1495	3132
333	1487	3109
333	1483	3091
333	1489	3079
333	1501	3068
333	1501	3044
333	1520	3045
333	1551	3041
333	1563	3039
333	1554	3073
333	1571	3075
333	1583	3068
333	1587	3051
333	1594	3056
333	1549	3090
333	1549	3103
333	1543	3127
333	1539	2988
333	1551	2991
333	1566	2980
333	1576	2974
333	1574	2959
333	1591	2959
333	1598	2953
333	1597	2945
333	1575	2934
333	1572	2910
333	1557	2911
333	1547	2916
333	1536	2926
333	1536	2936
333	1514	2951
333	1514	2951
333	1519	2967
333	1513	2976
333	1502	2978
333	1487	2976
333	1479	2981
333	1478	2992
333	1486	3000
333	1494	3005
333	1500	3002
333	1487	3018
333	1494	3022
333	1500	3028
333	1462	2993
333	1567	2830
333	1559	2833
333	1547	2841
333	1552	2850
333	1565	2852
333	1571	2858
333	1556	2870
333	1547	2861
333	1535	2849
333	1523	2856
333	1511	2845
333	1499	2844
333	1490	2851
333	1484	2867
333	1487	2887
333	1495	2905
333	1501	2917
333	1470	2933
333	1459	2935
333	1449	2934
333	1444	2919
333	1445	2910
333	1428	2906
333	1418	2912
333	1406	2908
333	1411	2870
333	1416	2875
333	1423	2878
333	1428	2887
333	1418	2883
333	1430	2936
333	1432	2949
333	1376	2826
333	1370	2835
333	1369	2844
333	1365	2858
333	1353	2863
333	1362	2874
333	1369	2883
333	1375	2894
333	1376	2902
333	1391	2921
333	1397	2943
333	1414	2959
333	1420	2973
333	1429	2979
333	1429	2993
333	1405	2985
333	1393	2985
333	1383	2994
333	1379	3012
333	1387	3018
333	1404	3020
333	1388	3033
333	1371	3054
333	1358	3063
333	1339	3082
333	1326	3097
333	1325	3112
333	1329	3133
333	1340	3137
333	1344	3149
333	1436	3092
333	1426	3088
333	1418	3081
333	1407	3076
333	1402	3071
333	1396	3061
333	1574	3076
333	1579	3070
333	1584	3061
333	1584	3046
333	1411	2865
333	1398	2886
333	1415	2901
