Cap Do	Kinh Nghiem	Chua Trung Sinh	Trung Sinh 1	Trung Sinh 2	Trung Sinh 3	Trung Sinh 4	Trung Sinh 5
1	100						
2	500						
3	1100						
4	1900						
5	2900						
6	4100						
7	5500						
8	7100						
9	8900						
10	10900						
11	13100						
12	15700						
13	18700						
14	22100						
15	25900						
16	30100						
17	34700						
18	39700						
19	45100						
20	50900						
21	57100						
22	63900						
23	71300						
24	79300						
25	87900						
26	97100						
27	106900						
28	117300						
29	128300						
30	139900						
31	152100						
32	165400						
33	179800						
34	195300						
35	211900						
36	229600						
37	248400						
38	268300						
39	289300						
40	311400						
41	334600						
42	360400						
43	388800						
44	419800						
45	453400						
46	489600						
47	528400						
48	569800						
49	613800						
50	660400						
51	709600						
52	766000						
53	829600						
54	900400						
55	978400						
56	1063600						
57	1156000						
58	1255600						
59	1362400						
60	1476400						
61	1597600						
62	1738200						
63	1898200						
64	2077600						
65	2276400						
66	2494600						
67	2732200						
68	2989200						
69	3265600						
70	3561400						
71	3876600						
72	4240200						
73	4652200						
74	5112600						
75	5621400						
76	6178600						
77	6784200						
78	7438200						
79	8140600						
80	8891400						
81	9690600						
82	10600800						
83	11622000						
84	12754200						
85	13997400						
86	15351600						
87	16816800						
88	18393000						
89	20080200						
90	21878400						
91	23787600						
92	25933000						
93	28314600						
94	30932400						
95	33786400						
96	36876600						
97	40203000						
98	43765600						
99	47564400						
100	50000000						
101	55000000						
102	60000000						
103	70000000						
104	75000000						
105	80000000						
106	90000000						
107	100000000						
108	110000000						
109	300000000						
110	350000000						
111	400000000						
112	450000000						
113	500000000						
114	500000000						
115	500000000						
116	500000000						
117	500000000						
118	500000000						
119	500000000						
120	500000000						
121	500000000						
122	500000000						
123	500000000						
124	500000000						
125	500000000						
126	500000000						
127	500000000						
128	500000000						
129	500000000						
130	500000000		1600000	48000	112000	240000	496000
131	500000000		16000	48000	112000	240000	496000
132	500000000		16000	48000	112000	240000	496000
133	500000000		16000	48000	112000	240000	496000
134	500000000		16000	48000	112000	240000	496000
135	500000000		20000	60000	140000	300000	620000
136	500000000		20000	60000	140000	300000	620000
137	500000000		20000	60000	140000	300000	620000
138	500000000		20000	60000	140000	300000	620000
139	500000000		20000	60000	140000	300000	620000
140	500000000		30000	90000	210000	450000	930000
141	500000000		30000	90000	210000	450000	930000
142	500000000		30000	90000	210000	450000	930000
143	500000000		30000	90000	210000	450000	930000
144	500000000		30000	90000	210000	450000	930000
145	500000000		50000	150000	350000	750000	1550000
146	500000000		50000	150000	350000	750000	1550000
147	500000000		50000	150000	350000	750000	1550000
148	500000000		50000	150000	350000	750000	1550000
149	500000000		50000	150000	350000	750000	1550000
150	500000000		80000	240000	560000	1200000	2480000
151	500000000		80000	240000	560000	1200000	2480000
152	500000000		80000	240000	560000	1200000	2480000
153	500000000		80000	240000	560000	1200000	2480000
154	500000000		80000	240000	560000	1200000	2480000
155	500000000		120000	360000	840000	1800000	3720000
156	500000000		120000	360000	840000	1800000	3720000
157	500000000		120000	360000	840000	1800000	3720000
158	500000000		120000	360000	840000	1800000	3720000
159	500000000		120000	360000	840000	1800000	3720000
160	500000000		180000	540000	1260000	2700000	5580000
161	500000000		180000	540000	1260000	2700000	5580000
162	500000000		180000	540000	1260000	2700000	5580000
163	500000000		180000	540000	1260000	2700000	5580000
164	500000000		180000	540000	1260000	2700000	5580000
165	500000000		200000	600000	1400000	3000000	6200000
166	500000000		200000	600000	1400000	3000000	6200000
167	500000000		200000	600000	1400000	3000000	6200000
168	500000000		200000	600000	1400000	3000000	6200000
169	500000000		200000	600000	1400000	3000000	6200000
170	500000000		400000	1000000	2200000	4600000	9400000
171	500000000		400000	1000000	2200000	4600000	9400000
172	500000000		400000	1000000	2200000	4600000	9400000
173	500000000		400000	1000000	2200000	4600000	9400000
174	500000000		400000	1000000	2200000	4600000	9400000
175	500000000		600000	1400000	3000000	6200000	12600000
176	500000000		600000	1400000	3000000	6200000	12600000
177	500000000		600000	1400000	3000000	6200000	12600000
178	500000000		600000	1400000	3000000	6200000	12600000
179	500000000		600000	1400000	3000000	6200000	12600000
180	500000000		1000000	2200000	4600000	9400000	19000000
181	500000000		1000000	2200000	4600000	9400000	19000000
182	500000000		1000000	2200000	4600000	9400000	19000000
183	500000000		1000000	2200000	4600000	9400000	19000000
184	500000000		1000000	2200000	4600000	9400000	19000000
185	500000000		1400000	3000000	6200000	12600000	25400000
186	500000000		1400000	3000000	6200000	12600000	25400000
187	500000000		1400000	3000000	6200000	12600000	25400000
188	500000000		1400000	3000000	6200000	12600000	25400000
189	500000000		1400000	3000000	6200000	12600000	25400000
190	500000000		2000000	4200000	8600000	17400000	35000000
191	500000000		2000000	4200000	8600000	17400000	35000000
192	500000000		2000000	4200000	8600000	17400000	35000000
193	500000000		2000000	4200000	8600000	17400000	35000000
194	500000000		2000000	4200000	8600000	17400000	35000000
195	500000000		2200000	4600000	9400000	19000000	38200000
196	500000000		2200000	4600000	9400000	19000000	38200000
197	500000000		2200000	4600000	9400000	19000000	38200000
198	500000000		2200000	4600000	9400000	19000000	38200000
199	500000000		2200000	4600000	9400000	19000000	38200000
200	500000000		39800000	79800000	159800000	319800000	639800000
