LEVEL	MAGICPOINT1	PROP1	RESIST1	SKILLLIMIT1	MAGICPOINT2	PROP2	RESIST2	SKILLLIMIT2	MAGICPOINT3	PROP3	RESIST3	SKILLLIMIT3	MAGICPOINT4	PROP4	RESIST4	SKILLLIMIT4	MAGICPOINT5	PROP5	RESIST5	SKILLLIMIT5	MAGICPOINT6	PROP6	RESIST6	SKILLLIMIT6	MAGICPOINT7	PROP7	RESIST7	SKILLLIMIT7
160	5	20	1	2																								
161	5	21	1	2																								
162	5	22	1	2																								
163	6	23	1	2																								
164	6	24	1	2																								
165	6	25	1	2																								
166	7	26	1	2																								
167	7	27	1	2																								
168	7	28	1	2																								
169	8	29	1	2																								
170	8	30	2	2	15	30	3	1																				
171	8	31	2	2	16	35	3	1																				
172	9	32	2	2	17	40	3	1																				
173	9	33	2	2	18	45	3	1																				
174	9	34	2	2	19	50	3	1																				
175	10	35	2	2	20	55	3	1																				
176	10	36	2	2	21	60	3	1																				
177	10	37	2	2	22	65	3	1																				
178	11	38	2	2	22	70	3	1																				
179	11	39	2	2	23	75	3	1																				
180	12	41	3	2	23	79	4	1	10	40	4	1																
181	12	43	3	2	24	83	4	1	10	43	4	1																
182	12	45	3	2	24	87	4	1	11	46	4	1																
183	13	47	3	2	25	91	4	1	11	49	4	1																
184	13	49	3	2	25	95	4	1	12	52	4	1																
185	13	51	3	2	26	99	4	1	12	55	4	1																
186	14	53	3	2	26	103	4	1	13	58	4	1																
187	14	55	3	2	27	107	4	1	13	61	4	1																
188	14	57	3	2	27	111	4	1	14	64	4	1																
189	15	59	3	2	27	115	4	1	14	67	4	1																
190	15	62	4	2	28	118	5	1	15	70	5	1	20	100	3	1												
191	15	65	4	2	28	121	5	1	15	73	5	1	20	100	3	1												
192	16	68	4	2	28	124	5	1	16	76	5	1	20	100	3	1												
193	16	71	4	2	28	127	5	1	16	79	5	1	20	100	3	1												
194	17	74	4	2	28	130	5	1	17	82	5	1	20	100	3	1												
195	17	78	4	2	29	133	5	1	17	85	5	1	20	100	3	1												
196	18	82	4	2	29	136	5	1	18	88	5	1	20	100	3	1												
197	18	86	4	2	29	139	5	1	18	91	5	1	20	100	3	1												
198	19	90	4	2	29	142	5	1	19	94	5	1	20	100	3	1												
199	19	94	4	2	29	145	5	1	19	97	5	1	20	100	3	1												
200	20	100	2	2	30	150	2	1	40	200	2	1	50	250	2	1	60	300	2	1	70	350	5	1	80	400	5	1
