XPOS	YPOS
52960	127232
52953	126866
53181	126944
53196	126498
53270	126194
53418	126396
53378	126100
53628	126154
53677	125680
53907	125900
53911	125596
54173	125428
54005	125214
54211	125072
54479	125076
54392	124792
54672	124848
54681	124440
54956	124664
54955	124296
55241	124246
55241	123918
55191	123440
55403	123430
55539	123026
55393	122704
55593	122586
55367	122242
55541	122008
55356	121790
55596	121460
55569	121084
55780	121076
55605	120812
55764	120570
55617	120236
55367	120422
55528	119764
55785	119590
55416	119242
55387	118864
55404	118504
55685	118398
55565	118642
55923	119044
56211	119400
56446	119106
56597	118802
56845	119032
57039	118828
57242	118934
57483	119112
57729	118800
58083	118622
58109	119067
58289	118480
58463	118038
58597	117722
58706	117456
58396	117168
58494	116708
58060	116314
58316	116050
58307	115552
58478	115028
58374	114424
58741	113938
59048	114041
59169	113478
59360	113018
59614	113400
59980	113264
60189	112840
60558	113176
60826	112816
61290	112540
61377	112028
61820	112160
61835	111628
62174	111776
62127	111282
62554	111476
62583	110806
63127	110912
63164	110336
63503	110106
63904	109816
64298	109796
64701	109970
65158	110030
65447	109864
65959	109847
65980	110478
65954	110862
66045	111542
66098	112004
65859	112378
65948	112818
65607	112848
65521	113200
65312	112918
65295	113316
64946	113112
64877	113598
64498	113452
64446	114020
64018	114064
64114	114434
63746	114532
63765	114942
63480	114910
63600	115434
63408	115340
63459	115730
63131	115630
63333	116030
63180	117050
63153	117480
62951	117820
62825	118114
62495	118370
62224	118696
62372	119050
62061	119260
62448	119302
62562	119176
62476	120130
62130	120448
61648	120380
62062	119512
61756	119558
61350	120466
61255	119540
60921	119070
60682	119242
60362	119198
60206	119592
59970	119214
59709	119251
59679	118600
59456	119152
59222	119256
58961	119570
58878	120220
59098	120180
59156	120535
59446	120548
59424	120960
59673	121242
59441	121476
59522	121894
59155	121942
59271	122464
59025	122664
59318	122894
59019	123162
59224	123554
58853	123702
58886	124094
58653	124252
58788	124640
58459	124634
58592	125166
58352	125222
58335	125622
57991	125830
58177	126290
57645	126326
57878	126662
57465	126798
57380	127246
57081	127174
57195	127558
56833	127514
57094	127918
56773	128064
56817	128490
56458	128570
56586	128934
56212	129100
56178	129556
55750	129486
55692	129984
55355	129812
55525	130144
55226	130216
55442	130328
55017	130266
54860	129902
56705	127124
56434	126854
56164	126580
55849	126266
55828	125858
55523	125892
55275	125676
55020	125472
54831	125084
55994	125402
55989	125086
56181	125084
56225	124734
56458	124630
56475	124302
56771	124134
56554	123858
56694	123600
56603	123214
56381	123338
56270	123024
56022	123114
55949	122800
55803	122826
57000	123976
57312	124064
57342	124470
57634	124482
57763	124908
58033	124752
56854	123024
57089	122932
57042	122522
57319	122500
57309	122154
57616	122066
57685	121730
58002	121572
57913	121156
58213	121080
58241	120686
58460	120516
58212	119936
58652	120230
58557	119808
58750	119520
58579	119200
58749	119204
58948	119096
59003	118748
58897	118422
58727	118310
58670	118538
59035	118108
59155	117824
59267	117458
59434	117180
59675	116858
59909	116692
59703	116260
60054	116148
60175	115792
60470	115782
60711	115542
60966	115730
61078	115270
61370	115276
61477	114884
61754	114842
61830	114468
61834	114096
62119	114416
61391	114104
61115	113856
62324	115124
62616	115456
62851	115632
62076	114078
62187	113756
62370	113949
62461	113642
62599	113286
62804	113511
62893	113108
62787	112720
62731	112320
62496	112064
62290	111914
63458	113036
63742	113472
63879	113266
64148	113530
55828	119978
56223	118794
58853	119832
58434	118884
59342	118648
59402	118122
58934	117472
