STT	MaCoDe	TenNhanVat	TenTaiKhoan	ThoiGianNhan
1	100	HeineKen	vuatocdo2	2017-02-05 13:36:37
2	100	BÊtPhµm	lai999	2017-02-05 22:36:52
3	101	Vâ§angThiªnT­íng	gamezeus1	2017-02-06 12:10:28
4	104	VTAÙNotÙSky	kiendday251103	2017-02-06 12:57:09
5	105	§¹iÙCathay	tranquocquangdn	2017-02-06 16:41:53
6	100	DungÙHµ	tranquocquangdn1	2017-02-06 21:47:44
7	104	VuaÙTècÙ§é	vuatocdo1	2017-02-06 21:49:26
8	106	zZzVoTinhzZz	bongbong1911	2017-02-06 21:49:46
9	103	KÎÙ§µoÙTÈu	vuatocdo3	2017-02-06 21:51:09
10	103	TªnÙNµyÙQu¸Ù§Ñp	vuatocdo6	2017-02-06 21:52:44
11	104	§·Ù§ñÙ16ÙKıÙTù	vuatocdo5	2017-02-06 21:52:59
12	103	T×nhÙLµÙG×	vuatocdo4	2017-02-06 21:53:56
13	101	HáaÙThÇn	cungruado5	2017-02-06 21:55:49
14	101	ÙÙÙÙÙÙNoÙPromise	thienngoc9042	2017-02-06 22:22:51
15	100	TrÇnPhó	bilove2121991	2017-02-06 23:49:38
16	100	BĞÙB¸nÙRùu	caytientranohp	2017-02-07 00:33:50
17	101	KimÙVu¬ng	cubia123	2017-02-07 01:19:04
18	100	ÙTerryÙ	viewsonic	2017-02-07 04:45:45
19	100	VoDangChiTon	ngochithanh2017	2017-02-07 10:38:45
20	101	C¸ChĞpÙHãaRång	xuanphong00	2017-02-07 11:20:01
21	105	BónBßHuÕ	banh8142055	2017-02-07 13:10:54
22	100	BÊtHo¸n	lai000	2017-02-07 14:56:19
23	100	NgäccTrinhh	cheocochet	2017-02-07 17:39:23
24	100	§·Ù§ñÙ16ÙKıÙTù	vuatocdo5	2017-02-07 22:39:48
25	101	TªnÙNµyÙQu¸Ù§Ñp	vuatocdo6	2017-02-07 22:59:05
26	101	KÎÙ§µoÙTÈu	vuatocdo3	2017-02-07 22:59:42
27	100	VuaÙTècÙ§é	vuatocdo1	2017-02-07 23:00:13
28	100	DieuAnh	dieuanhls01	2017-02-08 12:21:01
29	115	DungÙHµ	tranquocquangdn1	2017-02-08 22:18:27
30	102	TrÇnPhó	bilove2121991	2017-02-08 22:20:21
31	101	B«mÙMïÙ	anhchangga4	2017-02-08 22:21:35
