STT	ConSo	ThoiGian	Giai
1	70	2016-04-23	1
1	55	2016-04-23	2
1	76	2016-04-23	3
1	24	2016-04-23	4
1	65	2016-04-23	5
1	47	2016-04-24	1
1	26	2016-04-24	2
1	15	2016-04-24	3
1	14	2016-04-24	4
1	64	2016-04-24	5
1	65	2016-04-25	1
1	17	2016-04-25	2
1	51	2016-04-25	3
1	92	2016-04-25	4
1	17	2016-04-25	5
1	76	2016-04-26	1
1	78	2016-04-26	2
1	79	2016-04-26	3
1	49	2016-04-26	4
1	91	2016-04-26	5
1	89	2016-04-27	1
1	72	2016-04-27	2
1	29	2016-04-27	3
1	20	2016-04-27	4
1	11	2016-04-27	5
1	64	2016-04-28	1
1	38	2016-04-28	2
1	83	2016-04-28	3
1	34	2016-04-28	4
1	25	2016-04-28	5
1	65	2016-04-29	1
1	33	2016-04-29	2
1	71	2016-04-29	3
1	46	2016-04-29	4
1	6	2016-04-29	5
1	71	2016-04-30	1
1	19	2016-04-30	2
1	71	2016-04-30	3
1	30	2016-04-30	4
1	22	2016-04-30	5
1	74	2016-05-01	1
1	67	2016-05-01	2
1	54	2016-05-01	3
1	82	2016-05-01	4
1	89	2016-05-01	5
1	96	2016-05-02	1
1	61	2016-05-02	2
1	51	2016-05-02	3
1	65	2016-05-02	4
1	66	2016-05-02	5
1	16	2016-05-03	1
1	90	2016-05-03	2
1	19	2016-05-03	3
1	20	2016-05-03	4
1	20	2016-05-03	5
1	59	2016-05-05	1
1	80	2016-05-05	2
1	39	2016-05-05	3
1	80	2016-05-05	4
1	19	2016-05-05	5
1	80	2016-05-06	1
1	54	2016-05-06	2
1	48	2016-05-06	3
1	88	2016-05-06	4
1	72	2016-05-06	5
1	1	2016-05-07	1
1	99	2016-05-07	2
1	95	2016-05-07	3
1	13	2016-05-07	4
1	51	2016-05-07	5
1	92	2016-05-08	1
1	78	2016-05-08	2
1	87	2016-05-08	3
1	25	2016-05-08	4
1	72	2016-05-08	5
1	60	2016-05-09	1
1	16	2016-05-09	2
1	73	2016-05-09	3
1	64	2016-05-09	4
1	35	2016-05-09	5
1	25	2016-05-10	1
1	5	2016-05-10	2
1	34	2016-05-10	3
1	42	2016-05-10	4
1	83	2016-05-10	5
1	69	2016-05-11	1
1	31	2016-05-11	2
1	44	2016-05-11	3
1	98	2016-05-11	4
1	33	2016-05-11	5
1	58	2016-05-12	1
1	38	2016-05-12	2
1	99	2016-05-12	3
1	15	2016-05-12	4
1	6	2016-05-12	5
1	14	2016-05-13	1
1	67	2016-05-13	2
1	18	2016-05-13	3
1	34	2016-05-13	4
1	6	2016-05-13	5
1	12	2016-05-14	1
1	52	2016-05-14	2
1	85	2016-05-14	3
1	69	2016-05-14	4
1	5	2016-05-14	5
1	14	2016-05-15	1
1	7	2016-05-15	2
1	53	2016-05-15	3
1	69	2016-05-15	4
1	87	2016-05-15	5
1	16	2016-05-16	1
1	98	2016-05-16	2
1	50	2016-05-16	3
1	16	2016-05-16	4
1	79	2016-05-16	5
1	89	2016-05-17	1
1	14	2016-05-17	2
1	4	2016-05-17	3
1	96	2016-05-17	4
1	45	2016-05-17	5
1	35	2016-05-18	1
1	29	2016-05-18	2
1	28	2016-05-18	3
1	48	2016-05-18	4
1	35	2016-05-18	5
1	10	2016-05-19	1
1	27	2016-05-19	2
1	20	2016-05-19	3
1	33	2016-05-19	4
1	12	2016-05-19	5
1	36	2016-05-20	1
1	30	2016-05-20	2
1	70	2016-05-20	3
1	51	2016-05-20	4
1	26	2016-05-20	5
1	86	2016-05-21	1
1	77	2016-05-21	2
1	50	2016-05-21	3
1	20	2016-05-21	4
1	17	2016-05-21	5
1	31	2016-05-22	1
1	30	2016-05-22	2
1	54	2016-05-22	3
1	44	2016-05-22	4
1	8	2016-05-22	5
