STT	MaCoDe	TenNhanVat	TenTaiKhoan	ThoiGianNhan
1	416C4373KI	alakavic	huyhoangne	2018-10-24 20:22:51
2	416C4373KI	DieuÙNhu	huyhoangn	2018-10-24 20:23:10
3	416Q312J6J	TanMongDao	anhtri7121	2018-10-24 20:31:02
4	416Q312J6J	TieuTuong	anhtri	2018-10-24 20:34:43
5	416Q312J6J	PhongCoNuong	trananhtri7121	2018-10-24 20:39:26
6	416Q312J6J	DaiNguyenSoai	trananhtri	2018-10-24 20:47:03
7	6ULL8Y86VL	BiÓnXanhS©uTh¼m	khangdt2	2018-10-24 20:48:36
8	40KIE564JL	giothelao	lmnguyennt	2018-10-24 23:03:10
9	6LCEOWY0B8	678910	winwarrior11	2018-10-25 12:16:08
10	0B1V8J45YV	ThiªnÙV­¬ngÙNo1	tvcaytien	2018-10-25 12:33:24
11	42EBX7VEZK	123123123	phh29082000	2018-10-25 13:18:04
12	0YW872Q4GS	BachDocXuyen	phh29082000	2018-10-25 13:27:28
13	5XE97HSLS4	22222222	sugunm2	2018-10-25 13:33:43
14	3WNV8U64P5	ngheobenvung	thanphuc281193	2018-10-25 14:06:04
15	22NIVGB790	AÙhiÙhi	phuongha10	2018-10-25 14:49:20
16	2LPDNFEB52	BHÙTr­¬ng§èm	thitheotb01	2018-10-25 17:45:14
17	32HBRENV78	CaveNo1	ktkkcc9	2018-10-25 19:57:03
18	4URTKPCPIN	2ÙTayÙ2ÙEm	kduyencl	2018-10-25 23:39:15
19	0VIOLJM0PJ	§«ngÙTµÙT©yÙ§éc	vlquoc6	2018-10-26 09:16:49
20	147JL6ENBB	vodayem	xevipp111	2018-10-26 16:06:08
21	52P7KFKOT5	ThÝchÙMótÙCu	suntn95	2018-10-26 18:13:51
22	1KHLLEZ6ZH	N÷ÙC¶nhÙS¸t	taquocoai6	2018-10-26 22:25:04
23	3UYA1G1ZZG	ConÙChymÙNon	choigai1	2018-10-27 23:17:24
24	3UYA1G1ZZG	ZzÙ5ÙDocÙzZ	choigai3	2018-10-28 09:26:56
25	3UYA1G1ZZG	ConÙChymÙNon	choigai1	2018-10-28 09:28:16
26	3UYA1G1ZZG	ÙCaveÙBuff	choigai2	2018-10-28 09:30:01
27	0JKSTNYHBZ	HuyÒnÙTho¹i	tinhvonghiadm	2018-10-28 13:29:42
28	0WK5VRVDEJ	b¶oÙvÖÙc«Ùd©u	anhtau5	2018-10-28 22:58:52
29	0YW872Q4GS	NST001	phh29082001	2018-10-29 11:01:15
30	0YW872Q4GS	NST002	phh29082002	2018-10-29 11:04:58
31	0J6Q1NIPH2	NST2222	dnta07	2018-10-29 11:14:35
32	0J6Q1NIPH2	NST1111	dnta06	2018-10-29 11:15:00
33	0I4I4RUM43	PhãÙHångÙTuyÕt	vlthai11	2018-10-29 21:56:11
34	0I4I4RUM43	NuÙTacÙne	vlthai12	2018-10-30 05:48:04
35	0JKSTNYHBZ	NoBiTa	tinhvonghiadmm	2018-10-30 12:27:47
36	3WTSOTTC6R	KHPFrameKill	camchoiangian	2018-10-30 12:36:24
37	0M05HL0XVC	BlueRose	caphach01	2018-10-30 13:59:45
38	0M05HL0XVC	354345354	bogiavt000	2018-10-30 16:03:43
39	0DHMNH2NOX	zzzTYNz	namdailuc7	2018-10-30 20:10:39
40	0DHMNH2NOX	XxtynaXx	namdailuc2	2018-10-30 20:11:10
41	0DEUS69D2U	AnhHiepBg	hiepdoanxa91	2018-10-30 20:17:39
42	3WNV8U64P5	ZzzVDzzZ	vangchs8	2018-10-30 20:22:37
43	3WTSOTTC6R	KHPFramer	camchoiangian	2018-10-30 20:28:37
44	0DHMNH2NOX	zZTyna	namdailuc5	2018-10-30 21:16:47
45	6C5DMP5GNG	Babibuff	jajakiki	2018-10-30 22:40:07
46	0G1VO8Q2WF	WuJang	leoxxx99	2018-10-31 08:45:59
47	3UR3SIH13V	NgocBaoHan	vietdung	2018-10-31 14:24:16
48	3UR3SIH13V	NoMoney	vietdung01	2018-10-31 14:26:45
