map_ID	nPosX	nPosY
333	1557	2987
333	1544	2971
333	1518	2946
333	1503	2927
333	1493	2937
333	1481	2949
333	1457	2974
333	1441	2988
333	1417	3011
333	1401	3028
333	1390	3042
333	1400	3052
333	1413	3064
333	1431	3081
333	1447	3099
333	1462	3083
333	1471	3072
333	1491	3053
333	1506	3036
333	1519	3025
333	1537	3008
333	1548	2997
333	1530	2988
333	1514	2971
333	1500	2955
333	1481	2971
333	1461	2992
333	1476	3005
333	1500	3027
333	1517	3007
333	1431	3068
333	1441	3078
333	1453	3075
333	1433	3099
333	1424	3091
333	1452	3107
333	1464	3100
333	1490	3072
333	1501	3070
333	1499	3059
333	1511	3049
333	1516	3044
333	1519	3055
333	1531	3030
333	1538	3022
333	1544	3028
333	1552	3021
333	1547	3013
333	1560	3007
333	1555	2970
333	1550	2963
333	1541	2954
333	1533	2945
333	1539	2936
333	1547	2946
333	1557	2956
333	1489	2924
333	1482	2932
333	1473	2943
333	1466	2948
333	1458	2957
333	1456	2949
333	1464	2938
