等级	升级需要经验	升级附加经验（万）	1转附加经验	2转附加经验	3转附加经验	4转附加经验	5转附加经验
1	50						
2	200						
3	320						
4	480						
5	680						
6	920						
7	1300						
8	1620						
9	1980						
10	2180						
11	2310						
12	2570						
13	2870						
14	3210						
15	3590						
16	4010						
17	4470						
18	5970						
19	5510						
20	7090						
21	27130						
22	29170						
23	31390						
24	33790						
25	36370						
26	39130						
27	42070						
28	45190						
29	48490						
30	51970						
31	52420						
32	55080						
33	57960						
34	61060						
35	64380						
36	67920						
37	71680						
38	75660						
39	79860						
40	84280						
41	88920						
42	94080						
43	99760						
44	99960						
45	102680						
46	109920						
47	117680						
48	125960						
49	134760						
50	144080						
51	153920						
52	165200						
53	177920						
54	192080						
55	207680						
56	400000						
57	600000						
58	900000						
59	1000000						
60	1200000						
61	1400000						
62	1600000						
63	1800000						
64	2000000						
65	2200000						
66	2400000						
67	2600000						
68	2800000						
69	3000000						
70	3200000						
71	3400000						
72	3600000						
73	3800000						
74	4000000						
75	4200000						
76	4400000						
77	4600000						
78	4800000						
79	5000000						
80	50000000						
81	50000000						
82	50000000						
83	50000000						
84	50000000						
85	50000000						
86	100000000						
87	100000000						
88	100000000						
89	100000000						
90	100000000						
91	100000000						
92	200000000						
93	300000000						
94	400000000						
95	500000000						
96	600000000						
97	700000000						
98	1000000000						
99	1000000000						
100	1500000000						
101	1500000000						
102	1500000000						
103	1500000000						
104	1500000000						
105	1500000000						
106	1500000000						
107	1500000000						
108	1500000000						
109	1500000000						
110	1500000000						
111	1000000000						
112	1000000000						
113	1000000000						
114	1000000000						
115	1000000000						
116	1000000000						
117	1000000000						
118	1000000000						
119	1000000000						
120	1000000000						
121	1500000000						
122	1500000000						
123	1500000000						
124	1500000000						
125	1500000000						
126	2000000000						
127	2000000000						
128	2000000000						
129	2000000000						
130	2000000000		16000	48000	64000	0	0
131	2000000000		16000	48000	64000	144000	144000
132	2000000000		16000	48000	64000	144000	144000
133	2000000000		16000	48000	64000	144000	144000
134	2000000000		16000	48000	64000	144000	144000
135	2000000000		20000	60000	80000	140000	140000
136	2000000000		20000	60000	80000	180000	180000
137	2000000000		20000	60000	80000	180000	180000
138	2000000000		20000	60000	80000	180000	180000
139	2000000000		20000	60000	80000	180000	180000
140	2000000000		30000	90000	120000	170000	170000
141	2000000000		30000	90000	120000	270000	270000
142	2000000000		30000	90000	120000	270000	270000
143	2000000000		30000	90000	120000	270000	270000
144	2000000000		30000	90000	120000	270000	270000
145	2000000000		50000	150000	200000	250000	250000
146	2000000000		50000	150000	200000	450000	450000
147	2000000000		50000	150000	200000	450000	450000
148	2000000000		50000	150000	200000	450000	450000
149	2000000000		50000	150000	200000	450000	450000
150	2000000000		80000	240000	320000	420000	420000
151	2000000000		80000	240000	320000	720000	720000
152	2000000000		80000	240000	320000	720000	720000
153	2000000000		80000	240000	320000	720000	720000
154	2000000000		80000	240000	320000	720000	720000
155	2000000000		120000	360000	480000	680000	680000
156	2000000000		120000	360000	480000	1080000	1080000
157	2000000000		120000	360000	480000	1080000	1080000
158	2000000000		120000	360000	480000	1080000	1080000
159	2000000000		120000	360000	480000	1080000	1080000
160	2000000000		180000	540000	720000	1020000	1020000
161	2000000000		180000	540000	720000	1620000	1620000
162	2000000000		180000	540000	720000	1620000	1620000
163	2000000000		180000	540000	720000	1620000	1620000
164	2000000000		180000	540000	720000	1620000	1620000
165	2000000000		200000	600000	800000	1600000	1600000
166	2000000000		200000	600000	800000	1800000	1800000
167	2000000000		200000	600000	800000	1800000	1800000
168	2000000000		200000	600000	800000	1800000	1800000
169	2000000000		200000	600000	800000	1800000	2800000
170	2000000000		200000	600000	800000	1800000	2800000
171	2000000000		200000	600000	800000	1800000	2800000
172	2000000000		200000	600000	800000	1800000	2800000
173	2000000000		200000	600000	800000	1800000	2800000
174	2000000000		200000	600000	800000	1800000	2800000
175	2000000000		200000	600000	800000	1800000	2800000
176	2000000000		200000	600000	800000	1800000	2800000
177	2000000000		200000	600000	800000	1800000	2800000
178	2000000000		200000	600000	800000	1800000	2800000
179	2000000000		200000	600000	800000	1800000	2800000
180	2000000000		200000	600000	800000	1800000	2800000
181	2000000000		200000	600000	800000	1800000	2800000
182	2000000000		200000	600000	800000	1800000	2800000
183	2000000000		200000	600000	800000	1800000	2800000
184	2000000000		200000	600000	800000	1800000	2800000
185	2000000000		200000	600000	800000	1800000	2800000
186	2000000000		200000	600000	800000	1800000	2800000
187	2000000000		200000	600000	800000	1800000	2800000
188	2000000000		200000	600000	800000	1800000	2800000
189	2000000000		200000	600000	800000	1800000	2800000
190	2000000000		200000	600000	800000	1800000	2800000
191	2000000000		200000	600000	800000	1800000	2800000
192	2000000000		200000	600000	800000	1800000	2800000
193	2000000000		200000	600000	800000	1800000	2800000
194	2000000000		200000	600000	800000	1800000	2800000
195	2000000000		200000	600000	800000	1800000	2800000
196	2000000000		200000	600000	800000	1800000	2800000
197	2000000000		200000	600000	800000	1800000	2800000
198	2000000000		200000	600000	800000	1800000	2800000
199	2000000000		800000	1800000	1800000	1800000	5800000
200	2000000000		800000	1800000	1800000	3800000	5800000
