Cap Do	Kinh Nghiem	Chua Trung Sinh	Trung Sinh 1	Trung Sinh 2	Trung Sinh 3	Trung Sinh 4	Trung Sinh 5
1	100						
2	500						
3	1100						
4	1900						
5	2900						
6	4100						
7	5500						
8	7100						
9	8900						
10	10900						
11	13100						
12	15700						
13	18700						
14	22100						
15	25900						
16	30100						
17	34700						
18	39700						
19	45100						
20	50900						
21	57100						
22	63900						
23	71300						
24	79300						
25	87900						
26	97100						
27	106900						
28	117300						
29	128300						
30	139900						
31	152100						
32	165400						
33	179800						
34	195300						
35	211900						
36	229600						
37	248400						
38	268300						
39	289300						
40	311400						
41	334600						
42	360400						
43	388800						
44	419800						
45	453400						
46	489600						
47	528400						
48	569800						
49	613800						
50	660400						
51	709600						
52	766000						
53	829600						
54	900400						
55	978400						
56	1063600						
57	1156000						
58	1255600						
59	1362400						
60	1476400						
61	1597600						
62	1738200						
63	1898200						
64	2077600						
65	2276400						
66	2494600						
67	2732200						
68	2989200						
69	3265600						
70	10000000						
71	10000000						
72	10000000						
73	10000000						
74	10000000						
75	30000000						
76	30000000						
77	30000000						
78	30000000						
79	30000000						
80	70000000						
81	70000000						
82	70000000						
83	70000000						
84	70000000						
85	120000000						
86	120000000						
87	120000000						
88	120000000						
89	120000000						
90	185000000						
91	185000000						
92	185000000						
93	185000000						
94	185000000						
95	300000000						
96	300000000						
97	300000000						
98	300000000						
99	300000000						
100	500000000						
101	500000000						
102	500000000						
103	500000000						
104	500000000						
105	750000000						
106	750000000						
107	750000000						
108	750000000						
109	750000000						
110	1250000000						
111	1250000000						
112	1250000000						
113	1250000000						
114	1250000000						
115	1750000000						
116	1750000000						
117	1750000000						
118	1750000000						
119	1750000000						
120	2000000000	2500					
121	2000000000	2500					
122	2000000000	2500					
123	2000000000	2500					
124	2000000000	2500					
125	2000000000	10000					
126	2000000000	10000					
127	2000000000	10000					
128	2000000000	10000					
129	2000000000	10000					
130	2000000000	20000	1600000	48000	112000	240000	496000
131	2000000000	20000	16000	48000	112000	240000	496000
132	2000000000	20000	16000	48000	112000	240000	496000
133	2000000000	20000	16000	48000	112000	240000	496000
134	2000000000	20000	16000	48000	112000	240000	496000
135	2000000000	20000	20000	60000	140000	300000	620000
136	2000000000	20000	20000	60000	140000	300000	620000
137	2000000000	20000	20000	60000	140000	300000	620000
138	2000000000	20000	20000	60000	140000	300000	620000
139	2000000000	20000	20000	60000	140000	300000	620000
140	2000000000	20000	30000	90000	210000	450000	930000
141	2000000000	20000	30000	90000	210000	450000	930000
142	2000000000	20000	30000	90000	210000	450000	930000
143	2000000000	20000	30000	90000	210000	450000	930000
144	2000000000	20000	30000	90000	210000	450000	930000
145	2000000000	20000	50000	150000	350000	750000	1550000
146	2000000000	20000	50000	150000	350000	750000	1550000
147	2000000000	20000	50000	150000	350000	750000	1550000
148	2000000000	20000	50000	150000	350000	750000	1550000
149	2000000000	20000	50000	150000	350000	750000	1550000
150	2000000000	20000	80000	240000	560000	1200000	2480000
151	2000000000	20000	80000	240000	560000	1200000	2480000
152	2000000000	20000	80000	240000	560000	1200000	2480000
153	2000000000	20000	80000	240000	560000	1200000	2480000
154	2000000000	20000	80000	240000	560000	1200000	2480000
155	2000000000	20000	120000	360000	840000	1800000	3720000
156	2000000000	20000	120000	360000	840000	1800000	3720000
157	2000000000	20000	120000	360000	840000	1800000	3720000
158	2000000000	20000	120000	360000	840000	1800000	3720000
159	2000000000	20000	120000	360000	840000	1800000	3720000
160	2000000000	20000	180000	540000	1260000	2700000	5580000
161	2000000000	20000	180000	540000	1260000	2700000	5580000
162	2000000000	20000	180000	540000	1260000	2700000	5580000
163	2000000000	20000	180000	540000	1260000	2700000	5580000
164	2000000000	20000	180000	540000	1260000	2700000	5580000
165	2000000000	20000	200000	600000	1400000	3000000	6200000
166	2000000000	20000	200000	600000	1400000	3000000	6200000
167	2000000000	20000	200000	600000	1400000	3000000	6200000
168	2000000000	20000	200000	600000	1400000	3000000	6200000
169	2000000000	20000	200000	600000	1400000	3000000	6200000
170	2000000000	20000	400000	1000000	2200000	4600000	9400000
171	2000000000	20000	400000	1000000	2200000	4600000	9400000
172	2000000000	20000	400000	1000000	2200000	4600000	9400000
173	2000000000	20000	400000	1000000	2200000	4600000	9400000
174	2000000000	20000	400000	1000000	2200000	4600000	9400000
175	2000000000	20000	600000	1400000	3000000	6200000	12600000
176	2000000000	20000	600000	1400000	3000000	6200000	12600000
177	2000000000	20000	600000	1400000	3000000	6200000	12600000
178	2000000000	20000	600000	1400000	3000000	6200000	12600000
179	2000000000	20000	600000	1400000	3000000	6200000	12600000
180	2000000000	20000	1000000	2200000	4600000	9400000	19000000
181	2000000000	20000	1000000	2200000	4600000	9400000	19000000
182	2000000000	20000	1000000	2200000	4600000	9400000	19000000
183	2000000000	20000	1000000	2200000	4600000	9400000	19000000
184	2000000000	20000	1000000	2200000	4600000	9400000	19000000
185	2000000000	20000	1400000	3000000	6200000	12600000	25400000
186	2000000000	20000	1400000	3000000	6200000	12600000	25400000
187	2000000000	20000	1400000	3000000	6200000	12600000	25400000
188	2000000000	20000	1400000	3000000	6200000	12600000	25400000
189	2000000000	20000	1400000	3000000	6200000	12600000	25400000
190	2000000000	20000	2000000	4200000	8600000	17400000	35000000
191	2000000000	20000	2000000	4200000	8600000	17400000	35000000
192	2000000000	20000	2000000	4200000	8600000	17400000	35000000
193	2000000000	20000	2000000	4200000	8600000	17400000	35000000
194	2000000000	20000	2000000	4200000	8600000	17400000	35000000
195	2000000000	20000	2200000	4600000	9400000	19000000	38200000
196	2000000000	20000	2200000	4600000	9400000	19000000	38200000
197	2000000000	20000	2200000	4600000	9400000	19000000	38200000
198	2000000000	20000	2200000	4600000	9400000	19000000	38200000
199	2000000000	20000	2200000	4600000	9400000	19000000	38200000
200	2000000000	20000	39800000	79800000	159800000	319800000	639800000
