Name	TransLife	CurrentLevel	CurrentExp	CurrentExpPercent
gfgfgfgf	0	30	0	0
hoasonchuan	0	190	0	0
tieudaochuan	0	190	3.6e-08	0
11111111	0	30	0	0
qeqwqqqq	0	30	0	0
qweqweqwq	0	30	0	0
ewqeqwewqq	0	190	0	0
wqewqeqqwe	0	190	0	0
qweqeqeeeeee	0	30	0	0
qwqweqqqq	0	30	0	0
wqeqweqweq	0	190	0	0
qweqeqqqq	0	30	0	0
ewqeqeq	0	30	0	0
qwewqeq	0	30	0	0
eqweqeee	0	30	0	0
eqweqeqq	0	30	0	0
qweqweqqqq	0	190	0	0
12345644	0	30	0	0
ewqeqqqqqqq	0	30	0	0
hoasonn	0	190	0.029000448	1
wqeqweqqqqqq	0	190	0	0
tieudaoeq	0	30	0	0
qeqqeq	0	30	0	0
123456666	0	30	0	0
vuontau	0	190	0	0
testvuhon	0	30	0	0
eqweqweqee	0	30	0	0
qewqqqeeeee	0	30	0	0
11111111111111	0	190	0	0
vuhonwwww	0	30	0	0
33322333	0	30	0	0
asdasda	0	30	0	0
1125665656	0	190	0	0
qweqweq	0	190	1e-09	0
113212332	0	190	0	0
1111111	0	190	0	0
wqeqweqeq	0	30	0	0
eeeeeeeeeee	0	30	0	0
